ticker,close_price,st72_value,DMA_200
RELIANCE,1420.1,1356.8,1322.7
HINDUNILVR,2604.8,2469.4,2352.61
ADANIENT,2388.4,2214.6,2439.7
VEDL,450.2,425.5,436.65
CHOLAFIN,1527.9,1433.8,1426.46
MOTHERSON,99.4,90.3,97.33
ADANIENSOL,828.2,778.5,823.92
DABUR,522.05,494.7,499.2
IOB,37.82,35.5,44.12
JSWINFRA,312.65,300.2,295.88
MRF,146535.0,138431.2,127628.91
COLPAL,2273.5,2147.1,2550.14
MOTILALOFS,959.8,902.8,799.77
NAM-INDIA,861.7,791.4,681.38
SUNDARMFIN,4935.9,4534.5,4697.09
BANKINDIA,116.49,111.2,106.83
LAURUSLABS,883.9,828.5,629.26
APLAPOLLO,1626.3,1542.2,1592.26
ASTRAL,1366.1,1243.1,1491.81
ACC,1859.5,1787.9,1973.97
HONAUT,38095.0,35855.0,38234.38
EXIDEIND,392.8,366.8,388.28
KIMS,769.15,713.2,633.26
BANDHANBNK,174.01,160.5,161.55
MSUMI,41.89,37.8,38.3
SYNGENE,683.05,634.1,732.78
ABSLAMC,895.8,825.9,729.7
KIOCL,401.0,311.9,310.75
HSCL,480.1,446.8,487.01
SUNDRMFAST,1010.35,942.5,1020.14
DEVYANI,167.09,151.0,169.86
OLAELEC,44.83,39.4,60.36
VINATIORGA,1751.1,1626.9,1754.83
ARE&M,990.5,929.5,1059.64
UTIAMC,1408.1,1322.7,1173.59
ABLBL,142.8,130.3,nan
BEML,4120.9,3875.8,3702.13
JBMA,642.0,593.7,688.99
BATAINDIA,1141.8,1044.4,1265.67
EMBDL,101.31,90.5,118.46
ELECON,575.3,532.2,567.35
FINPIPE,205.82,187.9,213.24
VTL,435.1,394.2,465.46
SBFC,111.81,103.9,95.89
J&KBANK,105.09,99.2,98.64
SHRIPISTON,2602.2,2366.3,2131.02
