ticker,close_price,st72_value,DMA_200,datee
HDFCBANK,973.45,944.0,923.37,20251007
JIOFIN,306.25,292.8,279.69,20251007
SOLARINDS,14140.0,13297.6,12848.41,20251007
SIEMENS,3251.7,3073.0,3191.15,20251007
POLYCAB,7615.5,7248.9,6266.88,20251007
APOLLOHOSP,7662.0,7375.9,7064.95,20251007
BSE,2217.9,2033.3,2140.48,20251007
SRF,2940.2,2810.2,2881.59,20251007
PAYTM,1224.2,1127.0,938.02,20251007
NYKAA,255.34,234.2,195.63,20251007
COROMANDEL,2350.5,2166.5,2136.45,20251007
UPL,681.35,649.0,639.36,20251007
MEDANTA,1366.3,1284.6,1221.79,20251007
NH,1789.4,1684.3,1680.42,20251007
DELHIVERY,462.6,426.1,359.31,20251007
KIMS,722.2,673.2,658.82,20251007
EMCURE,1435.3,1300.8,1241.11,20251007
SKFINDIA,4905.9,4674.7,4354.85,20251007
JMFINANCIL,175.79,159.0,132.73,20251007
ELECON,602.5,555.8,564.86,20251007
IXIGO,311.75,275.6,187.55,20251007
