ticker,close_price,st72_value,DMA_200,DMA_10,datee
ULTRACEMCO,11723.0,11239.6,11805.92,11559.0,20251213
TATASTEEL,171.89,162.5,158.86,166.19,20251213
VEDL,543.6,513.5,443.38,528.29,20251213
ADANIENSOL,1011.3,958.9,870.75,982.46,20251213
GMRAIRPORT,104.34,94.5,88.21,102.63,20251213
IDBI,99.78,92.6,89.71,97.21,20251213
SWIGGY,416.5,383.3,382.33,398.44,20251213
JSWENERGY,482.2,438.4,512.42,466.42,20251213
NAM-INDIA,870.5,796.0,752.36,830.55,20251213
GODFRYPHLP,2851.6,2624.8,2859.07,2781.8,20251213
DALBHARAT,2072.2,1942.7,2077.15,1992.47,20251213
BLUESTARCO,1796.7,1697.2,1829.18,1749.02,20251213
SANDUMA,215.76,189.5,169.33,204.03,20251213
NIACL,171.92,156.1,177.87,163.47,20251213
PNBHOUSING,937.1,869.9,928.53,894.97,20251213
BANDHANBNK,149.57,138.9,161.9,144.55,20251213
EMAMILTD,539.55,509.9,567.55,524.9,20251213
ABSLAMC,751.95,715.3,748.01,732.18,20251213
ANANTRAJ,550.45,480.0,553.29,532.04,20251213
SARDAEN,511.4,465.7,500.48,487.47,20251213
JSWCEMENT,121.24,111.2,nan,113.15,20251213
CCL,1025.3,923.6,812.37,977.96,20251213
CELLO,570.9,532.8,587.36,562.22,20251213
TARIL,280.2,224.7,464.87,249.86,20251213
