ticker,close_price,st72_value,DMA_200
ONGC,239.49,232.8,242.51
POWERGRID,286.7,274.4,293.07
TATAPOWER,386.05,371.8,384.27
GAIL,179.29,171.8,179.25
NTPCGREEN,105.97,101.0,nan
RVNL,331.85,304.8,383.25
TORNTPOWER,1304.6,1212.3,1422.82
MRF,153885.0,140687.9,128748.54
NMDC,72.8,68.3,67.09
COCHINSHIP,1738.8,1601.3,1628.58
PGHH,13605.0,12906.0,14039.41
HUDCO,216.31,204.6,216.7
METROBRAND,1184.9,1097.0,1169.17
IGL,216.87,206.3,199.15
ITI,301.9,278.4,305.89
KEC,862.05,797.4,869.34
BEML,4077.5,3788.9,3696.99
WHIRLPOOL,1333.7,1257.1,1357.15
IRCON,175.38,160.8,183.53
CEATLTD,3376.0,3098.3,3163.36
FINCABLES,859.3,810.9,968.66
CELLO,568.75,516.8,628.1
CCL,923.6,847.4,730.28
ENGINERSIN,203.43,192.9,189.66
