ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
RELIANCE,1496.1,1428.1,1451.5,1360.7,1480.4,20251106
HDFCBANK,984.65,969.5,984.1,936.42,996.59,20251106
BHARTIARTL,2094.9,2002.5,2041.5,1832.55,2071.11,20251106
TCS,3010.9,2933.2,2981.2,3350.5,3044.8,20251106
ICICIBANK,1320.4,1386.0,1367.2,1365.23,1356.39,20251106
SBIN,960.75,917.7,932.9,796.33,934.82,20251106
BAJFINANCE,1041.9,1037.0,1080.8,909.53,1064.11,20251106
INFY,1466.7,1427.1,1454.2,1549.82,1491.92,20251106
HINDUNILVR,2436.0,2562.9,2524.7,2397.4,2489.18,20251106
LICI,896.1,872.2,878.8,855.16,901.31,20251106
LT,3881.6,3818.5,4071.1,3513.09,3948.32,20251106
ITC,407.5,405.1,422.3,412.72,416.24,20251106
MARUTI,15452.0,16366.5,16051.5,13118.7,16037.3,20251106
M&M,3618.5,3653.7,3488.6,3104.27,3571.19,20251106
HCLTECH,1526.4,1465.1,1492.7,1550.34,1535.09,20251106
KOTAKBANK,2083.2,2198.0,2161.3,2058.26,2140.52,20251106
SUNPHARMA,1685.9,1630.8,1655.3,1680.79,1696.18,20251106
AXISBANK,1228.5,1177.3,1203.7,1117.81,1241.01,20251106
ULTRACEMCO,11910.0,12398.2,12223.0,11740.34,11968.7,20251106
TITAN,3774.4,3586.1,3657.1,3425.82,3750.21,20251106
BAJAJFINSV,2063.2,2058.9,2142.1,1964.9,2120.44,20251106
NTPC,326.65,347.5,341.3,333.5,338.52,20251106
ONGC,251.5,243.5,247.8,240.81,253.8,20251106
ADANIPORTS,1436.8,1397.8,1475.3,1306.38,1441.07,20251106
HAL,4593.6,4853.0,4778.9,4410.61,4710.49,20251106
BEL,408.8,402.2,404.6,351.54,415.88,20251106
ADANIPOWER,153.17,151.1,166.7,117.89,160.91,20251106
JSWSTEEL,1168.8,1137.6,1160.9,1034.79,1178.35,20251106
ETERNAL,305.65,336.6,326.9,266.65,324.26,20251106
ADANIENT,2314.3,2572.3,2504.0,2411.62,2478.36,20251106
DMART,4082.2,4355.4,4284.3,4133.95,4192.53,20251106
POWERGRID,270.2,292.2,286.2,287.24,286.97,20251106
WIPRO,240.05,249.8,246.3,257.77,241.69,20251106
ASIANPAINT,2602.9,2441.0,2492.5,2358.25,2520.69,20251106
BAJAJ-AUTO,8720.5,9158.9,9052.3,8344.92,8952.0,20251106
NESTLEIND,1266.1,1209.7,1232.1,1166.74,1273.11,20251106
IOC,168.37,157.8,161.4,137.7,160.81,20251106
COALINDIA,373.15,387.3,388.3,368.53,379.0,20251106
TATASTEEL,177.27,173.1,176.8,153.27,179.87,20251106
INDIGO,5693.0,5954.6,5849.9,5339.28,5740.05,20251106
HINDZINC,467.2,465.2,491.0,443.14,478.13,20251106
SBILIFE,1970.8,1872.9,1907.7,1707.17,1933.88,20251106
VEDL,504.95,476.9,489.4,429.05,502.94,20251106
HYUNDAI,2353.4,2460.0,2299.2,2024.0,2351.68,20251106
JIOFIN,298.1,297.6,310.1,280.57,306.16,20251106
DLF,758.35,742.4,754.9,743.86,772.19,20251106
EICHERMOT,6806.5,6714.7,7154.4,5691.57,6924.15,20251106
ADANIGREEN,1060.5,1017.0,1058.7,974.23,1074.19,20251106
GRASIM,2700.1,2958.1,2887.4,2669.43,2884.55,20251106
DIVISLAB,6883.5,6434.8,6567.9,6160.44,6648.4,20251106
HINDALCO,788.4,851.8,828.7,676.33,833.91,20251106
LTIM,5652.0,5380.0,5485.5,5118.33,5641.1,20251106
TRENT,4679.2,4902.1,4824.6,5292.34,4736.96,20251106
TVSMOTOR,3446.8,3700.7,3622.0,2865.57,3532.86,20251106
BPCL,367.95,346.0,355.2,304.27,351.61,20251106
VBL,471.85,440.7,456.5,493.55,470.84,20251106
HDFCLIFE,736.05,775.7,761.6,723.18,741.71,20251106
IRFC,120.25,126.7,124.8,128.63,123.19,20251106
TMPV,407.85,390.0,398.0,nan,409.59,20251106
SHRIRAMFIN,792.5,730.8,754.9,634.44,747.95,20251106
BAJAJHLDNG,13139.0,11277.3,11729.0,12654.39,12675.3,20251106
BANKBARODA,286.35,267.4,274.7,234.24,277.51,20251106
PIDILITIND,1442.8,1536.3,1508.6,1474.56,1481.74,20251106
BRITANNIA,6013.5,6134.3,6049.8,5431.69,5916.9,20251106
CHOLAFIN,1683.4,1625.3,1667.6,1516.38,1714.07,20251106
PNB,120.46,115.8,118.4,102.45,120.72,20251106
AMBUJACEM,558.4,585.2,552.0,551.92,564.26,20251106
TATACAP,326.45,311.9,317.4,nan,327.44,20251106
PFC,386.1,415.4,409.3,401.47,398.45,20251106
MUTHOOTFIN,3183.8,3121.2,3315.5,2523.92,3178.91,20251106
TATAPOWER,391.75,390.5,412.2,382.55,401.98,20251106
