ticker,close_price,st73_value,DMA_200,DMA_10,datee
SUNPHARMA,1782.6,1694.8,1696.13,1733.44,20260108
ALKEM,5806.5,5381.4,5258.17,5565.2,20260108
KALYANKJIL,520.75,475.0,518.62,493.69,20260108
JKCEMENT,5975.0,5325.0,5945.34,5667.25,20260108
GODREJIND,1054.2,942.9,1136.58,1010.7,20260108
TATATECH,683.5,626.6,689.83,652.9,20260108
EMMVEE,217.08,177.6,nan,191.13,20260108
CYIENT,1176.9,1061.0,1197.28,1124.41,20260108
ELECON,517.85,436.3,564.25,486.32,20260108
PNGJL,639.85,580.1,589.99,612.84,20260108
