ticker,close_price,st72_value,DMA_200,DMA_10,datee
APOLLOHOSP,7172.0,6899.3,7253.58,7040.05,20251225
POLICYBZR,1916.3,1812.2,1755.42,1882.1,20251225
NTPCGREEN,93.27,89.2,101.99,90.78,20251225
NYKAA,257.95,246.9,220.01,250.63,20251225
MOTILALOFS,893.6,835.3,851.42,859.93,20251225
JKCEMENT,5692.0,5299.9,5881.99,5580.5,20251225
MEDANTA,1191.2,1128.7,1262.02,1159.58,20251225
NUVAMA,7615.0,6993.8,6742.19,7272.65,20251225
IIFL,602.15,553.6,457.68,572.35,20251225
JYOTICNC,990.6,919.3,1020.07,953.12,20251225
BAYERCROP,4526.9,4335.1,5077.63,4385.44,20251225
KANSAINER,242.22,226.5,243.51,225.32,20251225
CASTROLIND,189.39,182.5,203.76,184.24,20251225
JBMA,639.95,564.9,643.58,573.37,20251225
DATAPATTNS,2672.3,2498.5,2575.02,2586.75,20251225
BLACKBUCK,670.7,610.7,529.6,642.28,20251225
OLECTRA,1249.5,1144.8,1326.73,1192.64,20251225
JKLAKSHMI,792.1,750.3,848.73,779.55,20251225
STARCEMENT,227.78,215.5,235.94,220.22,20251225
HONASA,275.2,254.9,276.08,263.51,20251225
