ticker,close_price,st72_value,DMA_200,DMA_10,datee
SUNPHARMA,1760.2,1699.2,1695.94,1728.88,20260107
DIVISLAB,6642.5,6248.2,6316.73,6430.65,20260107
HDFCLIFE,777.85,741.2,753.63,754.05,20260107
CIPLA,1530.8,1493.1,1511.77,1505.95,20260107
ICICIGI,2010.0,1937.8,1912.34,1965.04,20260107
ALKEM,5655.5,5409.1,5253.63,5541.15,20260107
MFSL,1731.3,1603.6,1524.67,1676.54,20260107
CHOLAHLDNG,1925.8,1810.9,1891.09,1870.57,20260107
APOLLOTYRE,519.5,490.6,474.81,503.66,20260107
ASTERDM,625.65,591.1,599.05,611.32,20260107
REDINGTON,285.8,269.7,267.37,274.46,20260107
GALLANTT,567.5,530.1,557.8,537.35,20260107
