ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
HDFCBANK,1003.3,969.5,978.7,954.52,1000.28,20251208
SBIN,971.5,993.5,978.5,821.38,970.1,20251208
LT,4038.2,3921.2,3980.7,3580.16,4033.64,20251208
MARUTI,16282.0,15442.7,15687.8,13509.18,16050.0,20251208
ITC,404.95,413.9,409.4,410.7,402.89,20251208
M&M,3717.1,3574.1,3636.9,3184.81,3698.12,20251208
BAJAJFINSV,2096.5,2155.9,2119.9,1998.64,2068.27,20251208
EICHERMOT,7208.0,6827.3,6960.4,5901.36,7135.55,20251208
DLF,719.75,744.0,732.5,745.04,718.05,20251208
HDFCLIFE,768.3,742.4,779.0,738.48,766.46,20251208
SHRIRAMFIN,854.9,811.4,865.1,663.11,844.85,20251208
BPCL,360.3,351.5,371.2,310.54,359.44,20251208
MUTHOOTFIN,3800.1,3587.7,3659.0,2682.18,3738.26,20251208
BANKBARODA,292.6,280.8,301.3,242.57,289.55,20251208
CHOLAFIN,1730.4,1637.3,1740.8,1561.39,1702.21,20251208
TATACAP,325.45,315.2,317.3,nan,323.62,20251208
IDEA,10.8,,9.8,7.8,10.23,20251208
IDEA,10.8,,9.8,7.8,10.23,20251208
GODREJCP,1136.0,1090.6,1162.0,1174.96,1135.11,20251208
UNITDSPR,1455.6,1375.1,1401.7,1399.62,1441.53,20251208
MARICO,736.65,,698.0,697.73,724.45,20251208
MARICO,736.65,,698.0,697.73,724.45,20251208
MARICO,736.65,747.0,698.0,697.73,724.45,20251208
ICICIPRULI,626.05,600.0,631.7,607.91,617.72,20251208
SRF,2885.4,2968.7,2796.3,2965.81,2851.64,20251208
SBICARD,885.15,917.2,899.6,880.83,875.04,20251208
LTF,309.6,290.4,297.6,207.77,304.57,20251208
PRESTIGE,1689.7,1776.6,1732.8,1516.01,1660.46,20251208
LENSKART,417.2,372.1,392.3,nan,414.2,20251208
IDFCFIRSTB,80.87,77.1,78.5,69.52,80.23,20251208
ALKEM,5675.5,5467.4,5564.7,5156.11,5670.05,20251208
LLOYDSME,1220.3,1298.1,1261.0,1325.24,1212.16,20251208
SCHAEFFLER,3928.2,3843.5,4049.6,3829.25,3904.6,20251208
COLPAL,2164.4,2218.3,2185.1,2338.17,2156.48,20251208
SUNDARMFIN,4848.3,4518.2,4616.8,4785.23,4733.33,20251208
M&MFIN,367.55,329.1,342.1,275.32,360.62,20251208
LINDEINDIA,5910.0,5673.7,6075.7,6390.28,5883.95,20251208
ASTRAL,1459.5,1505.8,1475.1,1413.77,1448.65,20251208
POONAWALLA,470.65,496.6,461.4,421.91,468.86,20251208
PINELABS,247.63,220.6,230.5,nan,244.55,20251208
PNBHOUSING,903.85,872.0,920.5,926.11,895.79,20251208
EMAMILTD,525.3,543.4,531.8,567.64,520.5,20251208
WOCKPHARMA,1360.0,1295.9,1522.8,1451.6,1342.95,20251208
DEEPAKNTR,1569.0,1611.1,1581.4,1868.58,1558.94,20251208
ATUL,5865.5,6132.7,6011.7,6341.34,5860.25,20251208
VENTIVE,727.7,696.3,748.4,731.48,724.7,20251208
VINATIORGA,1586.3,1644.7,1620.3,1712.8,1585.25,20251208
SIGNATURE,1123.8,1063.7,1086.3,1139.76,1120.83,20251208
ELGIEQUIP,500.8,471.9,515.0,493.44,498.89,20251208
VGUARD,342.55,361.1,353.9,363.73,341.97,20251208
PFOCUS,186.45,,167.7,139.33,174.37,20251208
PFOCUS,186.45,,167.7,139.33,174.37,20251208
SHRIPISTON,2837.9,,2587.7,2354.62,2635.69,20251208
SHRIPISTON,2837.9,,2587.7,2354.62,2635.69,20251208
VTL,432.65,461.5,451.4,440.66,431.57,20251208
AVANTIFEED,819.6,756.7,790.2,749.61,818.33,20251208
SCI,232.26,254.2,245.4,200.68,231.37,20251208
BANCOINDIA,747.75,,667.4,569.41,690.96,20251208
BANCOINDIA,747.75,,667.4,569.41,690.96,20251208
VESUVIUS,480.2,508.3,498.3,498.73,479.69,20251208
ABFRL,77.41,81.7,79.7,135.01,76.75,20251208
