ticker,close_price,st72_value,DMA_200,DMA_10,datee
TATASTEEL,171.89,162.5,158.86,166.19,20251213
VEDL,543.6,513.5,443.38,528.29,20251213
ADANIENSOL,1011.3,958.9,870.75,982.46,20251213
GMRAIRPORT,104.34,94.5,88.21,102.63,20251213
IDBI,99.78,92.6,89.71,97.21,20251213
SWIGGY,416.5,383.3,382.33,398.44,20251213
NAM-INDIA,870.5,796.0,752.36,830.55,20251213
SANDUMA,215.76,189.5,169.33,204.03,20251213
PNBHOUSING,937.1,869.9,928.53,894.97,20251213
ABSLAMC,751.95,715.3,748.01,732.18,20251213
SARDAEN,511.4,465.7,500.48,487.47,20251213
CCL,1025.3,923.6,812.37,977.96,20251213
