SUNPHARMA,1727.5,1653.0,1748.04
MOTHERSON,156.00999450683594,148.5,152.72
HEROMOTOCO,4454.0,4158.9,4271.26
FACT,976.4500122070312,882.1,864.27
YESBANK,20.459999084472656,19.6,19.45
PATANJALI,1744.5,1636.8,1780.06
ALKEM,4933.2001953125,4710.3,5217.98
GODFRYPHLP,9360.0,8516.3,6634.52
TATAELXSI,6380.0,5940.0,6297.94
KEI,3892.39990234375,3600.2,3738.08
GODIGIT,353.54998779296875,330.7,322.18
TATATECH,731.9500122070312,698.0,804.27
SYNGENE,655.3499755859375,621.4,756.26
CROMPTON,351.8500061035156,330.2,366.07
DEVYANI,174.89999389648438,164.3,171.58
SOBHA,1647.5999755859375,1498.6,1441.54
