ticker,close_price,st72_value,DMA_200,DMA_10,datee
SCHAEFFLER,4186.5,3750.2,3979.62,4009.41,20260322
AWL,192.1,170.2,245.09,177.6,20260322
KIOCL,351.75,293.4,369.63,315.06,20260322
BAYERCROP,4717.5,4300.7,4999.37,4527.3,20260322
SHRIPISTON,3125.0,2760.0,2727.46,2975.49,20260322
FIRSTCRY,250.87,204.9,325.57,220.32,20260322
BLACKBUCK,615.8,554.9,583.58,579.81,20260322
HONASA,289.2,259.4,287.99,279.22,20260322
EUREKAFORB,462.5,420.1,565.04,443.2,20260322
STARCEMENT,216.39,202.4,234.16,205.45,20260322
