ticker,close_price,st73_value,DMA_200,DMA_10,datee
ABB,5474.0,4631.0,5374.25,4874.7,20260130
ENRIN,2481.5,2108.3,nan,2287.83,20260130
NMDC,84.6,75.2,73.09,80.5,20260130
PETRONET,296.0,270.8,282.58,281.8,20260130
APARINDS,7695.0,6720.5,8129.97,7270.95,20260130
SHYAMMETL,870.75,761.3,878.83,815.39,20260130
GMDCLTD,618.35,498.9,467.81,550.94,20260130
VGUARD,334.5,295.8,360.88,312.54,20260130
IGIL,322.7,283.4,351.15,306.58,20260130
ALIVUS,940.0,835.0,967.63,887.31,20260130
SCI,222.65,195.4,212.41,210.65,20260130
ASTRAMICRO,965.1,866.1,1000.2,926.02,20260130
SHARDACROP,984.55,751.9,821.6,838.4,20260130
