ticker,close_price,DMA_200,DMA_10,datee,st73_value
JUBLFOOD,500.0,480.49,476.32,20260919,452.5
UNOMINDA,1284.0,1165.52,1217.04,20260919,1136.8
POWERINDIA,32700.0,28150.67,31347.5,20260919,29127.9
