ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
IKS,1660.2,1523.6,1572.7,1594.19,1602.37,20251109
AFFLE,1747.2,1904.6,1854.4,1769.44,1870.27,20251109
IRB,44.49,42.6,43.5,46.7,44.73,20251109
INOXWIND,149.45,145.2,149.1,161.06,153.88,20251109
AEGISLOG,761.35,739.0,807.1,761.61,775.7,20251109
JBCHEPHARM,1702.9,1745.0,1716.8,1666.7,1698.04,20251109
PPLPHARMA,199.15,207.0,194.9,206.06,201.37,20251109
NUVAMA,7300.0,6873.5,7058.8,6498.91,7260.45,20251109
ATHERENERG,654.65,631.0,706.4,nan,689.06,20251109
KIOCL,402.9,461.3,440.0,331.7,429.02,20251109
LALPATHLAB,3096.7,3300.2,3012.5,2899.36,3125.37,20251109
PTCIL,17441.0,16035.0,16498.0,14382.06,17234.0,20251109
SYNGENE,616.3,659.1,644.5,670.63,646.57,20251109
ANANDRATHI,3121.5,2876.5,2983.3,2279.68,3128.88,20251109
EMCURE,1362.4,1279.2,1390.2,1235.79,1340.07,20251109
WELCORP,906.6,868.1,958.2,840.96,916.19,20251109
BRIGADE,980.0,960.7,1040.7,1022.28,1019.08,20251109
BANDHANBNK,153.71,166.9,162.4,161.4,162.36,20251109
SUMICHEM,475.15,521.9,507.4,532.98,502.8,20251109
RAMCOCEM,1033.5,1065.7,1012.2,995.49,1044.09,20251109
HATSUN,1041.9,978.7,1117.8,931.76,1082.02,20251109
SAGILITY,51.82,48.1,50.5,44.22,51.42,20251109
EIHOTEL,392.25,373.1,382.1,372.28,391.7,20251109
FSL,340.45,329.9,338.5,351.17,350.35,20251109
SHYAMMETL,860.55,957.7,927.8,867.72,889.35,20251109
PNBHOUSING,896.15,872.0,892.0,922.55,926.87,20251109
KARURVYSYA,249.12,232.8,238.9,200.5,248.51,20251109
ZFCVINDIA,12680.0,13434.9,13137.1,12723.71,12798.3,20251109
FORCEMOT,18194.0,16287.8,16983.5,12964.96,17325.6,20251109
ASTRAZEN,9077.5,9072.2,9621.8,8506.12,9399.25,20251109
ASAHIINDIA,934.8,867.7,893.7,763.23,938.07,20251109
PFIZER,5075.0,4999.6,5290.4,4832.85,5217.6,20251109
CESC,174.75,168.4,172.7,155.24,179.14,20251109
HSCL,452.7,487.5,476.8,463.47,472.15,20251109
ANGELONE,2616.4,2357.9,2421.3,2481.93,2533.56,20251109
TIMKEN,3015.4,2909.3,2975.4,2922.2,3044.55,20251109
DEEPAKNTR,1720.6,1803.6,1778.5,1933.76,1740.89,20251109
EMAMILTD,514.1,550.5,539.8,575.95,536.25,20251109
ANANTRAJ,619.85,665.9,648.1,560.45,636.3,20251109
MANAPPURAM,270.65,285.7,279.1,246.57,271.46,20251109
NETWEB,3431.9,4181.5,3929.5,2187.42,3796.18,20251109
NEULANDLAB,17837.0,15834.2,16448.7,13239.01,16581.7,20251109
REDINGTON,292.0,249.9,262.6,255.71,263.41,20251109
IIFL,526.3,492.6,509.3,420.98,528.44,20251109
TATACHEM,858.1,920.8,902.4,896.91,889.23,20251109
URBANCO,142.34,157.9,152.5,nan,150.41,20251109
CREDITACC,1346.9,1292.3,1444.6,1184.27,1409.8,20251109
ECLERX,4279.5,4959.2,4778.1,3489.31,4665.24,20251109
PSB,31.01,28.8,29.8,33.42,31.2,20251109
SUNTV,554.25,527.4,541.6,591.76,560.99,20251109
KPIL,1295.9,1210.9,1246.7,1112.81,1271.98,20251109
AADHARHFC,494.55,529.6,516.7,462.15,509.65,20251109
