ticker,close_price,st73_value,DMA_200,DMA_10,datee
ETERNAL,303.8,257.2,288.85,282.49,20260211
BAJAJ-AUTO,9774.0,9074.7,8756.99,9580.35,20260211
BHEL,276.1,248.0,252.39,266.8,20260211
IKS,1757.9,1516.8,1599.59,1636.76,20260211
SUNTV,614.35,508.4,571.6,553.47,20260211
ASTRAZEN,8960.5,8294.8,8891.12,8625.9,20260211
SAILIFE,917.6,791.3,836.66,851.15,20260211
TBOTEK,1576.6,1376.8,1463.44,1451.34,20260211
EDELWEISS,121.47,101.1,106.27,108.4,20260211
INOXINDIA,1168.1,1072.4,1161.19,1126.91,20260211
PVRINOX,1076.05,913.6,1045.46,993.48,20260211
RHIM,469.0,404.1,464.55,438.09,20260211
GPPL,184.1,161.8,158.67,171.45,20260211
NESCO,1221.7,1061.8,1221.36,1148.37,20260211
