ticker,close_price,DMA_200,DMA_10,datee,st72_value
BELRISE,240.18,206.31,229.27,20260919,223.5
JUBLFOOD,500.0,480.49,476.32,20260919,465.4
UNOMINDA,1284.0,1165.52,1217.04,20260919,1173.0
POWERINDIA,32700.0,28150.67,31347.5,20260919,30110.3
CIPLA,1394.5,1377.32,1373.59,20260919,1340.5
