ticker,close_price,st72_value,DMA_200,DMA_10,datee
NTPC,329.95,320.3,333.06,323.19,20251231
JSWSTEEL,1165.1,1101.8,1070.37,1099.98,20251231
PNB,124.24,118.4,108.24,121.03,20251231
UNIONBANK,154.42,147.7,137.52,152.03,20251231
JINDALSTEL,1063.7,1005.4,976.78,1005.33,20251231
BHEL,290.1,273.3,245.21,280.48,20251231
DABUR,508.15,487.7,497.47,493.57,20251231
OIL,428.95,402.1,413.01,407.76,20251231
UCOBANK,29.59,28.2,30.84,28.82,20251231
CENTRALBK,37.5,36.2,37.48,36.91,20251231
GUJGASLTD,416.8,385.5,429.91,394.76,20251231
MRPL,152.58,137.5,141.35,146.53,20251231
SHYAMMETL,845.5,808.5,881.37,822.46,20251231
PSB,28.06,26.4,30.47,26.91,20251231
RBLBANK,314.35,299.9,254.2,304.91,20251231
ZYDUSWELL,463.0,421.5,413.03,429.93,20251231
JMFINANCIL,150.31,142.0,144.64,144.71,20251231
ALIVUS,917.25,870.3,981.31,904.18,20251231
FINPIPE,174.75,166.3,192.44,169.21,20251231
HFCL,68.65,60.5,77.29,64.59,20251231
