ticker,close_price,st72_value,DMA_200,DMA_10,datee
TCS,3295.6,3165.0,3216.05,3254.91,20260108
DMART,3841.6,3588.3,4189.34,3749.88,20260108
HYUNDAI,2362.0,2246.0,2160.16,2307.89,20260108
BSE,2744.9,2589.9,2437.53,2658.1,20260108
PERSISTENT,6513.5,6048.7,5635.87,6287.5,20260108
POWERINDIA,19582.0,18115.8,18215.46,18629.8,20260108
KPITTECH,1208.5,1113.0,1235.73,1177.91,20260108
DELHIVERY,422.25,401.1,400.52,407.83,20260108
TATATECH,683.5,640.8,689.83,652.9,20260108
CREDITACC,1340.0,1237.4,1259.2,1290.1,20260108
TATACHEM,783.95,735.6,879.49,759.52,20260108
POLYMED,1800.8,1651.5,2080.23,1757.91,20260108
CROMPTON,263.45,250.4,312.02,255.8,20260108
EMBDL,65.49,57.0,97.55,61.1,20260108
