ticker,close_price,st73_value,DMA_200,DMA_10,datee
SBIN,998.95,960.8,847.82,975.48,20260103
POWERGRID,270.95,256.2,282.56,265.69,20260103
CHOLAFIN,1781.1,1626.2,1590.42,1696.46,20260103
PNB,125.35,117.8,108.64,122.02,20260103
TATAPOWER,393.1,370.6,389.29,380.71,20260103
HEROMOTOCO,5933.0,5584.1,4820.27,5730.0,20260103
BOSCHLTD,39420.0,34844.9,34885.53,36321.0,20260103
BHEL,299.5,275.4,246.21,284.23,20260103
SHREECEM,27045.0,25696.9,29222.36,26288.5,20260103
DABUR,522.6,481.9,497.66,496.72,20260103
YESBANK,22.29,20.8,20.5,21.65,20260103
VOLTAS,1430.2,1316.9,1343.26,1385.06,20260103
ASTRAL,1453.4,1360.5,1421.85,1401.74,20260103
UCOBANK,30.51,28.2,30.79,29.09,20260103
NLCINDIA,272.0,236.2,243.37,253.07,20260103
CENTRALBK,38.77,36.0,37.45,37.25,20260103
MEDANTA,1217.1,1135.0,1261.34,1181.38,20260103
SJVN,83.04,70.8,91.1,75.12,20260103
CESC,175.37,160.4,162.85,168.03,20260103
PSB,29.39,26.7,30.37,27.3,20260103
RBLBANK,320.75,299.2,255.84,308.76,20260103
OLAELEC,40.89,33.3,47.45,36.29,20260103
FINPIPE,178.51,167.7,192.52,171.44,20260103
EDELWEISS,113.92,101.6,103.6,109.02,20260103
RKFORGE,531.4,478.6,599.6,516.93,20260103
