ticker,close_price,st72_value,DMA_200,DMA_10,datee
HINDUNILVR,2348.0,2286.1,2399.89,2301.23,20260103
ADANIENT,2279.8,2201.1,2419.6,2238.5,20260103
JIOFIN,301.7,290.4,293.79,296.91,20260103
ADANIGREEN,1038.8,999.1,996.75,1017.46,20260103
TATAPOWER,393.1,376.2,389.29,380.71,20260103
UNIONBANK,156.7,149.8,137.98,152.17,20260103
BOSCHLTD,39420.0,35855.0,34885.53,36321.0,20260103
GAIL,175.38,169.1,180.27,171.71,20260103
INDHOTEL,748.65,718.9,756.96,738.71,20260103
SBICARD,875.95,832.5,882.83,862.95,20260103
BAJAJHFL,96.62,93.5,114.16,95.26,20260103
SUZLON,54.28,51.1,58.8,53.11,20260103
YESBANK,22.29,21.2,20.5,21.65,20260103
OBEROIRLTY,1730.0,1624.8,1689.99,1676.68,20260103
GODREJPROP,2068.5,1969.9,2143.34,2012.84,20260103
KALYANKJIL,495.7,470.6,517.52,487.03,20260103
BLUESTARCO,1816.1,1694.0,1812.79,1760.99,20260103
CRISIL,4458.6,4165.1,4920.5,4303.88,20260103
LICHSGFIN,545.55,526.8,572.53,537.64,20260103
TVSHLTD,14626.0,13348.3,12085.26,14099.9,20260103
CESC,175.37,164.2,162.85,168.03,20260103
AADHARHFC,500.55,470.9,481.09,485.24,20260103
PGEL,602.7,558.2,685.94,579.28,20260103
ELGIEQUIP,483.8,459.8,495.57,469.96,20260103
MINDACORP,602.5,563.9,538.22,585.39,20260103
J&KBANK,102.36,98.3,102.24,99.84,20260103
ELECON,501.0,467.4,562.82,483.4,20260103
UJJIVANSFB,55.71,52.0,46.77,53.23,20260103
EDELWEISS,113.92,105.0,103.6,109.02,20260103
TIMETECHNO,196.48,182.4,207.33,186.15,20260103
