ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
M&M,3581.2,3653.7,3616.7,3100.87,3571.46,20251105
KOTAKBANK,2096.6,2219.6,2181.7,2056.78,2151.9,20251105
HCLTECH,1529.1,1465.1,1492.7,1551.5,1531.05,20251105
SUNPHARMA,1690.0,1630.8,1655.3,1681.06,1696.64,20251105
AXISBANK,1226.6,1177.3,1203.7,1116.8,1241.89,20251105
ULTRACEMCO,11819.0,12398.2,12223.0,11733.07,12011.9,20251105
TITAN,3813.5,3586.1,3644.5,3423.51,3745.67,20251105
BAJAJFINSV,2073.2,2058.9,2158.0,1962.94,2131.03,20251105
NTPC,330.6,350.5,344.6,333.45,340.06,20251105
ONGC,252.35,243.5,247.8,240.81,253.46,20251105
ADANIPORTS,1444.4,1397.8,1475.3,1304.81,1444.74,20251105
HAL,4685.8,4627.5,4809.7,4406.55,4736.95,20251105
BEL,415.15,402.2,404.6,350.83,416.77,20251105
ADANIPOWER,158.39,151.1,167.6,117.67,162.67,20251105
JSWSTEEL,1181.4,1137.6,1160.9,1033.45,1176.72,20251105
ETERNAL,313.5,346.0,336.4,266.34,327.5,20251105
ADANIENT,2419.8,2619.1,2559.3,2411.98,2501.92,20251105
DMART,4182.4,4355.4,4284.3,4131.38,4211.76,20251105
POWERGRID,279.05,278.5,292.5,287.36,288.81,20251105
WIPRO,237.92,249.9,246.3,257.97,241.82,20251105
BAJAJ-AUTO,8751.0,9158.9,9116.4,8343.15,8991.75,20251105
NESTLEIND,1265.0,1209.7,1232.1,1165.85,1275.23,20251105
COALINDIA,377.55,387.3,388.4,368.41,379.77,20251105
ASIANPAINT,2486.7,2406.5,2447.2,2356.28,2510.86,20251105
IOC,169.25,157.3,161.0,137.48,159.38,20251105
TATASTEEL,179.29,173.1,176.8,153.0,179.42,20251105
INDIGO,5637.0,5954.6,5849.9,5331.11,5762.05,20251105
HINDZINC,473.35,465.2,497.0,442.97,479.79,20251105
VEDL,508.15,476.9,489.4,428.59,500.01,20251105
HYUNDAI,2395.1,2460.0,2299.2,2021.12,2350.64,20251105
SBILIFE,1971.5,1868.5,1904.7,1704.66,1920.9,20251105
GRASIM,2882.0,2803.9,2855.6,2667.48,2901.61,20251105
JIOFIN,301.9,297.6,313.6,280.44,307.53,20251105
DLF,774.6,742.4,754.9,743.71,773.53,20251105
EICHERMOT,6930.0,6714.7,6827.3,5682.62,6945.35,20251105
ADANIGREEN,1086.4,1017.0,1058.7,974.1,1072.14,20251105
HINDALCO,831.4,804.4,821.6,675.32,833.57,20251105
DIVISLAB,6804.5,6415.7,6547.6,6155.27,6618.75,20251105
LTIM,5620.0,5380.0,5485.5,5118.88,5629.82,20251105
TVSMOTOR,3473.1,3468.6,3641.7,2859.55,3554.01,20251105
TRENT,4660.6,4922.2,4843.3,5300.87,4748.15,20251105
BPCL,372.95,345.2,353.8,303.72,348.72,20251105
IRFC,122.24,128.0,126.2,128.71,123.58,20251105
HDFCLIFE,742.45,775.7,761.6,722.46,742.48,20251105
VBL,471.0,440.7,456.5,493.99,469.6,20251105
TMPV,406.5,390.0,398.0,nan,408.99,20251105
SHRIRAMFIN,796.5,730.8,754.9,633.12,738.22,20251105
BANKBARODA,288.1,267.4,274.7,233.88,275.9,20251105
PIDILITIND,1455.2,1538.3,1511.1,1474.3,1490.66,20251105
CHOLAFIN,1745.9,1625.3,1667.6,1514.23,1712.76,20251105
BRITANNIA,5892.5,6134.3,6049.8,5425.69,5923.05,20251105
PNB,123.25,115.8,118.4,102.33,120.44,20251105
AMBUJACEM,567.4,585.2,552.0,551.72,565.17,20251105
TATACAP,329.3,311.9,317.4,nan,327.79,20251105
BAJAJHLDNG,12091.0,13054.2,12755.6,12642.56,12634.6,20251105
PFC,396.2,415.4,390.0,401.61,399.69,20251105
TATAPOWER,400.6,390.5,397.2,382.4,402.68,20251105
MUTHOOTFIN,3188.3,3121.2,3315.5,2518.77,3188.0,20251105
CANBK,139.6,128.2,132.0,103.85,131.6,20251105
TECHM,1409.2,1481.7,1459.6,1500.8,1441.54,20251105
SOLARINDS,13624.0,14424.0,14452.3,13237.2,13954.2,20251105
LODHA,1222.9,1146.7,1175.1,1252.51,1188.55,20251105
CIPLA,1503.3,1614.9,1577.5,1494.7,1568.25,20251105
TORNTPHARM,3575.0,3702.6,3638.0,3345.25,3592.44,20251105
CUMMINSIND,4316.8,4127.7,4209.7,3328.76,4263.78,20251105
GAIL,181.62,172.9,176.7,177.65,181.39,20251105
GODREJCP,1163.4,1085.2,1111.7,1177.19,1131.72,20251105
ADANIENSOL,985.9,904.8,934.5,839.46,960.05,20251105
CGPOWER,747.6,770.5,755.1,668.77,735.94,20251105
INDIANB,872.4,812.3,833.6,614.44,845.9,20251105
TATACONSUM,1179.3,1113.0,1134.8,1073.59,1172.52,20251105
ENRIN,3245.4,3330.0,3252.4,nan,3165.78,20251105
POLYCAB,7560.0,7299.2,7439.4,6327.17,7628.4,20251105
HDFCAMC,5402.5,5791.8,5650.8,4797.2,5501.7,20251105
