ticker,close_price,st72_value,DMA_200,DMA_10,datee
BAJFINANCE,1085.0,1030.2,914.7,1058.14,20251111
HAL,4789.8,4548.2,4420.65,4682.59,20251111
MUTHOOTFIN,3328.2,3134.2,2540.68,3204.45,20251111
TORNTPHARM,3817.5,3548.0,3354.82,3606.75,20251111
ENRIN,3282.1,3079.7,nan,3192.87,20251111
NYKAA,260.82,241.4,205.62,252.42,20251111
BDL,1514.4,1400.2,1519.01,1498.74,20251111
IPCALAB,1344.8,1252.9,1392.58,1300.63,20251111
GRSE,2676.75,2511.9,2266.88,2571.85,20251111
JBCHEPHARM,1813.3,1689.0,1666.67,1708.87,20251111
EMCURE,1426.6,1317.1,1236.13,1347.0,20251111
GALLANTT,656.3,517.7,505.18,548.39,20251111
