ticker,close_price,st72_value,DMA_200,datee
INFY,1528.5,1458.8,1591.62,20251024
TECHM,1463.4,1418.7,1508.23,20251024
CUMMINSIND,4073.9,3902.3,3277.23,20251024
UBL,1828.8,1759.2,1962.48,20251024
BALKRISIND,2348.4,2225.0,2534.72,20251024
KPRMILL,1082.6,1006.4,1027.74,20251024
MSUMI,47.67,44.6,39.21,20251024
PNBHOUSING,883.6,840.0,919.6,20251024
ZENSARTECH,801.1,749.5,779.7,20251024
RATNAMANI,2419.8,2233.8,2643.59,20251024
CYIENT,1195.7,1117.8,1274.22,20251024
AAVAS,1668.2,1582.8,1781.7,20251024
IEX,144.52,134.3,168.83,20251024
NEWGEN,899.5,858.7,1042.01,20251024
VTL,437.4,411.4,443.32,20251024
INGERRAND,3999.9,3681.9,3749.15,20251024
