ticker,close_price,st72_value,DMA_200,DMA_10,datee
INFY,1689.8,1604.5,1518.26,1616.93,20260118
LTIM,6308.0,5914.7,5338.23,6070.5,20260118
TECHM,1670.5,1558.9,1501.72,1605.59,20260118
HDFCAMC,2596.4,2502.7,2597.22,2569.16,20260118
SHREECEM,27840.0,26600.5,29169.1,27319.0,20260118
AUBANK,1025.4,949.9,794.01,997.74,20260118
OFSS,7959.5,7366.5,8357.82,7679.6,20260118
FEDERALBNK,270.25,245.4,216.64,255.62,20260118
COFORGE,1732.3,1635.7,1716.79,1683.03,20260118
CENTRALBK,38.58,37.4,37.2,37.97,20260118
ACC,1755.6,1686.6,1859.21,1733.14,20260118
NAVINFLUOR,6156.5,5694.3,5016.17,5886.4,20260118
PINELABS,236.67,217.4,nan,228.98,20260118
SAGILITY,53.41,50.0,45.48,51.47,20260118
PSB,28.99,27.2,29.66,28.13,20260118
RBLBANK,324.6,304.6,262.97,312.99,20260118
INDIAMART,2289.0,2139.3,2392.17,2167.22,20260118
ZENTEC,1328.4,1219.9,1556.72,1295.05,20260118
SBFC,107.01,99.1,106.85,102.54,20260118
