ticker,close_price,st72_value,DMA_200,DMA_10,datee
VEDL,727.8,672.4,505.67,686.52,20260226
HEROMOTOCO,5737.5,5339.3,5072.11,5559.45,20260226
MANKIND,2155.7,2006.8,2361.98,2068.21,20260226
LLOYDSME,1251.8,1113.4,1337.65,1181.64,20260226
JSL,803.4,745.3,743.98,771.81,20260226
IPCALAB,1524.5,1412.9,1405.43,1486.28,20260226
TVSHLTD,15151.0,13750.9,13129.71,14723.1,20260226
CONCORDBIO,1230.9,1037.1,1548.98,1149.36,20260226
HEG,578.85,529.2,525.88,546.7,20260226
SANDUMA,213.07,187.2,187.33,204.47,20260226
SANOFI,4134.7,3982.4,4950.32,4044.31,20260226
