ticker,close_price,st73_value,DMA_200
IOC,144.98,138.0,134.37
DLF,786.75,735.5,755.22
LTIM,5375.5,5041.5,5231.87
CHOLAFIN,1583.1,1443.2,1450.26
PFC,403.05,382.9,409.87
GMRAIRPORT,92.84,85.2,82.56
HINDPETRO,402.0,380.8,376.64
PERSISTENT,5490.5,4987.9,5637.42
JSWINFRA,326.2,299.6,296.08
SCHAEFFLER,4057.9,3785.8,3637.51
IRCTC,727.2,703.1,754.13
PREMIERENE,1081.35,972.1,1049.0
BALKRISIND,2466.2,2252.0,2592.78
CONCOR,564.15,531.4,597.18
MAHABANK,55.06,51.7,51.38
UCOBANK,29.87,27.8,34.9
KPRMILL,1090.65,973.7,1023.7
REDINGTON,289.3,229.1,242.76
PTCIL,14611.0,13393.2,13882.27
PSB,29.81,27.2,36.76
CYIENT,1272.2,1152.3,1381.63
MGL,1363.2,1237.9,1317.87
PRUDENT,2994.8,2624.7,2556.34
