ticker,close_price,st72_value,DMA_200
BHARTIARTL,1928.4,1871.1,1734.84
TCS,3098.6,2967.2,3650.54
INFY,1496.2,1407.6,1672.01
NTPC,342.0,328.2,340.7
WIPRO,250.84,239.0,267.28
BRITANNIA,5701.0,5279.6,5161.03
LODHA,1300.0,1210.0,1289.53
GAIL,178.12,170.9,180.07
TATACONSUM,1105.3,1046.7,1026.44
CANBK,112.28,108.2,98.32
ICICIGI,1968.5,1874.7,1860.35
IDEA,6.79,6.2,7.6
PHOENIXLTD,1563.5,1448.7,1585.67
MPHASIS,2835.5,2618.7,2647.7
ITCHOTELS,246.04,226.6,nan
HEXT,773.8,704.3,nan
360ONE,1102.9,1031.7,1060.14
KEI,3986.4,3779.9,3699.59
NATIONALUM,192.22,183.2,192.63
TATATECH,689.0,660.9,760.37
AEGISLOG,737.4,675.5,773.27
ANGELONE,2720.8,2528.9,2615.98
KANSAINER,244.21,232.4,248.55
CARBORUNIV,990.25,855.5,1080.77
CONCORDBIO,1693.4,1562.4,1856.92
CYIENT,1230.6,1168.9,1439.96
JYOTHYLAB,347.5,323.6,368.29
INGERRAND,3778.3,3450.2,3828.32
BALRAMCHIN,583.75,540.5,546.13
