ticker,close_price,st72_value,DMA_200,DMA_10,datee
TITAN,3929.5,3748.7,3501.38,3841.39,20251217
BPCL,368.15,348.6,314.59,359.39,20251217
AIIL,2808.3,2552.3,2507.82,2623.02,20251217
SUPREMEIND,3405.8,3175.1,3927.28,3311.78,20251217
PGHH,12940.0,12449.7,13468.99,12690.8,20251217
AFFLE,1711.6,1617.7,1789.8,1655.82,20251217
DEEPAKNTR,1595.4,1504.0,1855.73,1545.68,20251217
KIRLOSENG,1227.1,1082.8,880.07,1133.79,20251217
NIVABUPA,77.47,72.9,80.22,74.95,20251217
THELEELA,414.0,380.8,nan,397.71,20251217
LLOYDSENT,64.79,55.0,64.06,56.72,20251217
NAZARA,245.4,217.7,283.87,233.23,20251217
