ticker,close_price,st73_value,DMA_200,DMA_10,datee
TRENT,4289.6,3970.3,5089.27,4116.38,20251225
RECLTD,354.75,334.8,380.1,342.97,20251225
BDL,1481.2,1325.5,1572.73,1395.76,20251225
THERMAX,3000.6,2758.7,3308.05,2885.76,20251225
ANANDRATHI,3062.5,2878.1,2458.2,2987.21,20251225
KIOCL,380.75,320.1,341.76,344.45,20251225
ANANTRAJ,566.8,504.6,555.99,544.01,20251225
KANSAINER,242.22,217.7,243.51,225.32,20251225
JBMA,639.95,537.7,643.58,573.37,20251225
PRIVISCL,3360.1,2963.4,2429.33,3140.23,20251225
HEG,550.55,507.2,501.92,533.4,20251225
ASTRAMICRO,970.25,883.8,964.5,913.83,20251225
V2RETAIL,2413.1,2183.6,1947.06,2260.07,20251225
