ticker,close_price,st73_value,DMA_200,DMA_10,datee
ETERNAL,303.8,257.2,288.85,282.49,20260211
BAJAJ-AUTO,9774.0,9074.7,8756.99,9580.35,20260211
INDHOTEL,702.55,648.9,741.23,679.64,20260211
BHEL,276.1,248.0,252.39,266.8,20260211
SWIGGY,355.75,299.5,384.48,323.71,20260211
TATAINVEST,665.55,591.6,709.27,630.25,20260211
IKS,1757.9,1516.8,1599.59,1636.76,20260211
CDSL,1400.9,1244.2,1536.35,1341.65,20260211
NIACL,159.02,141.3,177.15,149.66,20260211
SUNTV,614.35,508.4,571.6,553.47,20260211
PFIZER,4960.8,4516.1,5088.54,4683.61,20260211
ASTRAZEN,8960.5,8294.8,8891.12,8625.9,20260211
SAILIFE,917.6,791.3,836.66,851.15,20260211
TBOTEK,1576.6,1376.8,1463.44,1451.34,20260211
JBMA,603.65,531.3,643.14,577.89,20260211
UTIAMC,1088.55,968.6,1211.38,1032.67,20260211
AKZOINDIA,3022.3,2694.9,3295.95,2872.0,20260211
JMFINANCIL,140.43,114.9,150.12,128.57,20260211
SIGNATURE,950.4,789.4,1120.34,884.7,20260211
BATAINDIA,918.55,837.0,1110.11,866.45,20260211
EDELWEISS,121.47,101.1,106.27,108.4,20260211
INOXINDIA,1168.1,1072.4,1161.19,1126.91,20260211
PVRINOX,1076.05,913.6,1045.46,993.48,20260211
RHIM,469.0,404.1,464.55,438.09,20260211
PGHL,5498.0,5065.4,5814.93,5307.7,20260211
GPPL,184.1,161.8,158.67,171.45,20260211
NESCO,1221.7,1061.8,1221.36,1148.37,20260211
