ticker,close_price,st72_value,DMA_200,DMA_10,datee
INFY,1300.8,1203.6,1497.36,1265.48,20260403
HCLTECH,1402.2,1280.3,1528.37,1357.85,20260403
BOSCHLTD,32135.0,28456.4,36565.95,30226.5,20260403
MPHASIS,2209.9,1981.0,2700.06,2109.13,20260403
WELCORP,846.85,757.2,849.85,813.38,20260403
NATCOPHARM,1027.55,923.2,890.51,968.85,20260403
TATACHEM,651.9,570.5,835.87,621.0,20260403
POLYMED,1334.2,1151.9,1813.87,1255.21,20260403
FINEORG,4363.3,3841.2,4587.08,4171.15,20260403
CUPID,87.54,78.0,57.65,82.11,20260403
BSOFT,370.85,319.4,393.74,350.88,20260403
TCI,1039.9,874.6,1101.12,941.87,20260403
JAYNECOIND,78.99,67.2,67.01,73.24,20260403
