ticker,st73_signal,st73_value,st72_signal,st72_value,close_price,DMA_200,DMA10,10DMA_change
RELIANCE,0,1334.7,0,1311.7,1263.0,1418.01,1288.78,0
HDFCBANK,0,781.1,0,766.8,744.6,904.41,745.88,0
BHARTIARTL,0,1892.0,0,1855.4,1782.6,1953.53,1806.51,0
ICICIBANK,1,1223.8,0,1252.5,1317.0,1347.94,1261.4,0
SBIN,0,943.4,0,964.2,1000.7,975.4,979.12,0
TCS,0,2324.7,0,2260.6,2135.6,2776.43,2227.67,0
BAJFINANCE,0,937.3,0,916.1,870.55,963.54,883.25,0
LT,0,4086.7,0,4018.5,3862.0,3871.11,3949.23,0
HINDUNILVR,0,2222.3,0,2176.9,2139.8,2354.26,2117.52,0
LICI,0,391.3,0,410.8,393.2,423.95,400.69,0
INFY,0,1219.5,0,1186.8,1114.6,1390.09,1167.96,0
SUNPHARMA,0,1777.8,0,1847.7,1794.2,1718.3,1788.48,1
ADANIPOWER,0,242.5,0,234.5,215.51,161.74,229.48,0
MARUTI,0,12786.4,0,13450.3,13098.0,14883.41,13045.6,0
ADANIPORTS,0,1721.1,0,1753.0,1779.6,1497.31,1798.54,0
AXISBANK,0,1239.2,0,1267.3,1317.3,1250.65,1278.67,0
ADANIENT,0,2727.7,0,2817.2,2907.5,2331.22,2953.81,0
KOTAKBANK,0,367.1,0,374.3,393.35,405.64,382.09,0
M&M,0,3187.9,0,3111.8,3000.9,3419.55,2999.13,1
TITAN,0,4300.0,0,4219.5,4025.2,3980.19,4112.22,0
ITC,0,295.3,0,289.5,282.4,340.27,281.33,0
NTPC,0,375.9,0,367.6,351.85,352.53,364.94,0
ULTRACEMCO,0,11453.1,0,11242.7,10830.0,11950.19,11029.1,0
ONGC,0,273.2,0,266.6,252.6,253.33,262.29,0
JSWSTEEL,0,1246.7,0,1315.4,1282.3,1183.79,1286.07,0
HCLTECH,0,1194.0,0,1163.3,1110.2,1427.74,1166.43,0
BEL,0,429.6,0,421.2,402.3,416.06,408.62,0
BAJAJ-AUTO,0,10001.6,0,10570.4,10114.0,9277.56,10275.3,0
HAL,0,4490.3,0,4390.8,4172.3,4374.88,4240.17,0
COALINDIA,0,485.5,0,473.2,446.2,412.9,465.79,0
NESTLEIND,0,1464.5,0,1374.3,1422.5,1278.28,1404.27,0
POWERGRID,0,304.2,0,296.8,286.65,283.08,286.4,1
BAJAJFINSV,0,1749.9,0,1716.4,1645.1,1943.93,1710.83,0
DMART,0,4274.1,0,4192.3,3987.0,4139.04,4082.09,0
ASIANPAINT,0,2548.1,0,2606.0,2690.9,2548.27,2674.87,0
TATASTEEL,0,207.3,0,202.7,193.96,183.88,201.99,0
ADANIGREEN,0,1350.6,0,1406.3,1454.5,1058.03,1471.07,0
HINDZINC,0,602.0,0,582.8,545.0,544.71,587.77,0
HINDALCO,0,1122.7,0,1092.0,1024.3,897.48,1097.41,0
ETERNAL,0,259.2,0,251.5,235.2,282.93,247.62,0
GRASIM,0,2993.7,0,3186.6,3089.5,2822.18,3092.17,0
SHRIRAMFIN,0,957.1,0,934.0,886.25,875.38,912.19,0
EICHERMOT,0,6967.1,0,7337.5,7179.5,7103.39,7138.1,0
IOC,0,144.0,0,140.8,134.24,151.43,137.73,0
WIPRO,0,195.9,0,189.6,177.37,225.74,194.7,0
DIVISLAB,0,6467.6,0,6795.2,6655.5,6335.53,6611.75,0
ADANIENSOL,0,1395.1,0,1456.2,1466.7,1046.06,1528.44,0
VBL,0,500.5,0,511.8,519.9,470.25,527.37,0
INDIGO,0,4599.7,0,4630.6,4502.4,5047.01,4475.12,0
SBILIFE,0,1828.7,0,1793.1,1719.1,1921.34,1775.75,0
ICICIAMC,0,3136.0,0,3435.4,3193.8,nan,3286.2,0
BSE,0,4341.5,0,4197.5,3888.3,2895.52,3975.5,0
HYUNDAI,0,1787.0,0,1840.5,1940.1,2197.22,1901.5,1
TVSMOTOR,0,3531.0,0,3456.1,3287.4,3560.17,3342.82,0
SOLARINDS,0,19233.1,0,18667.9,17141.0,14199.7,18136.6,0
TORNTPHARM,0,4224.1,1,4265.0,4572.2,3943.51,4412.76,0
CUMMINSIND,0,5512.7,0,5964.1,5557.0,4530.55,5693.6,0
IDEA,0,13.7,0,15.0,14.17,10.26,14.34,0
PIDILITIND,0,1416.7,0,1447.6,1498.8,1459.89,1475.84,0
JIOFIN,0,244.0,0,238.8,228.02,275.55,234.05,0
MOTHERSON,0,130.0,0,135.2,140.74,116.67,143.19,0
POWERINDIA,0,38107.5,0,36590.0,33250.0,23295.63,35465.0,0
TRENT,0,2660.4,0,2875.0,2706.9,3555.0,2776.46,0
ABB,0,6637.9,0,7109.8,6719.0,5727.71,7035.5,0
CGPOWER,0,858.1,0,883.6,901.35,727.46,912.6,0
POLYCAB,0,9144.4,0,9344.4,9372.0,7773.55,9548.35,0
DLF,0,606.3,0,591.1,563.0,662.93,576.22,0
TMPV,0,370.4,0,396.5,375.9,421.67,389.83,0
BANKBARODA,0,249.4,0,256.8,267.6,268.46,263.05,0
PFC,0,444.5,0,445.1,413.55,394.86,424.44,0
TATACAP,0,298.0,0,306.4,321.35,nan,312.07,0
TMCV,0,388.4,0,377.8,354.35,nan,364.94,0
TECHM,0,1449.0,0,1551.8,1465.1,1490.12,1497.28,0
BHEL,0,417.0,0,402.5,370.65,283.39,394.55,0
UNIONBANK,0,154.0,0,161.6,164.54,161.05,165.99,0
SIEMENS,0,3865.2,0,3758.0,3522.0,3270.71,3673.08,0
TATAPOWER,0,418.2,0,409.6,390.25,392.1,407.48,0
CHOLAFIN,0,1599.4,0,1553.3,1454.9,1617.1,1485.21,0
BRITANNIA,0,5324.6,0,5239.7,5113.0,5815.57,5122.35,0
BPCL,0,284.9,0,297.7,286.35,328.75,292.02,0
APOLLOHOSP,0,8030.3,0,8202.6,8493.0,7575.87,8308.25,0
PNB,0,97.4,0,100.2,103.17,112.25,103.1,0
IRFC,0,99.9,0,97.8,93.33,111.84,95.76,0
ENRIN,0,3395.3,0,3734.9,3412.5,3040.76,3613.4,0
GVT&D,0,4525.2,0,4716.0,4735.0,3466.55,4907.86,0
CANBK,0,133.3,0,123.3,127.32,132.75,128.08,0
VEDL,0,337.7,0,325.6,304.9,539.79,320.93,0
GROWW,0,203.0,0,197.6,191.92,nan,190.52,0
HDFCLIFE,0,586.0,0,572.9,545.25,702.88,570.46,0
MUTHOOTFIN,0,3176.8,0,3074.6,2890.0,3393.85,3113.71,0
JINDALSTEL,0,1207.9,0,1179.7,1121.3,1110.85,1175.88,0
LTM,0,4233.1,0,4109.8,3824.9,5100.69,4049.36,0
CIPLA,0,1338.6,0,1360.8,1383.3,1415.15,1380.6,1
ZYDUSLIFE,0,1027.4,0,1054.1,1105.9,951.97,1089.48,0
INDIANB,0,861.6,0,796.0,825.65,817.47,823.25,0
BOSCHLTD,0,35122.5,0,37868.9,37565.0,36727.3,37233.5,0
BAJAJHLDNG,0,10763.8,0,10490.5,9863.0,11217.19,10140.6,0
TATACONSUM,0,1187.7,0,1160.2,1108.6,1134.04,1133.07,0
GAIL,0,156.2,0,160.5,166.09,164.85,166.22,0
INDUSTOWER,0,410.0,0,433.3,413.0,407.27,426.36,0
DRREDDY,0,1242.5,0,1313.9,1276.0,1264.55,1276.87,0
GMRAIRPORT,0,94.0,0,96.6,100.1,95.9,100.23,0
MARICO,0,791.4,0,836.3,810.8,754.27,813.0,0
LUPIN,0,2369.1,0,2325.9,2273.3,2145.83,2259.83,1
GODREJCP,0,1062.3,0,1038.6,1008.9,1129.92,1006.4,0
LGEINDIA,0,1451.5,0,1484.3,1520.9,nan,1525.61,0
HDFCAMC,0,2622.3,0,2553.9,2389.8,2617.85,2490.92,0
JSWENERGY,0,552.1,0,596.7,552.25,511.42,576.58,0
