ticker,st73_signal,st73_value,st72_signal,st72_value,close_price,DMA_200,DMA10,10DMA_change
RELIANCE,0,1481.7,0,1452.5,1386.1,1440.92,1431.23,0
HDFCBANK,0,962.4,0,947.5,916.1,974.13,927.05,0
BHARTIARTL,0,2085.8,0,2052.9,1984.7,1957.21,2012.13,0
TCS,0,3272.7,0,3231.6,3162.5,3144.39,3157.05,1
ICICIBANK,0,1420.2,0,1395.3,1343.4,1400.25,1389.2,0
SBIN,0,1001.4,0,1015.1,1029.5,868.51,1032.39,0
INFY,0,1587.0,0,1614.3,1670.8,1524.33,1641.31,0
BAJFINANCE,0,990.9,0,975.9,927.85,958.38,945.27,0
HINDUNILVR,0,2292.6,0,2329.0,2409.5,2413.72,2382.42,0
LT,0,3981.1,0,3907.3,3743.8,3711.61,3847.88,0
LICI,0,843.9,0,832.0,802.45,878.71,818.79,0
MARUTI,0,16624.6,0,16297.2,15469.0,14324.84,16023.0,0
HCLTECH,0,1619.7,0,1649.7,1707.0,1551.85,1681.63,0
M&M,0,3776.3,0,3701.5,3543.4,3354.7,3618.6,0
KOTAKBANK,0,438.8,0,432.8,422.8,420.95,423.45,0
ITC,0,343.3,0,337.1,323.4,405.83,330.43,0
SUNPHARMA,0,1753.4,0,1711.5,1631.9,1693.42,1670.32,0
AXISBANK,0,1244.3,0,1326.9,1258.0,1186.43,1286.67,0
ULTRACEMCO,0,11704.8,0,11891.5,12369.0,11971.94,12235.0,0
TITAN,0,4260.0,0,4180.6,4021.8,3640.88,4144.99,0
NTPC,0,333.4,0,350.2,336.7,333.04,341.99,0
BAJAJFINSV,0,2056.7,0,2022.8,1949.0,2024.62,1989.29,0
ONGC,0,233.0,0,238.1,245.47,237.23,243.85,0
ADANIPORTS,0,1490.3,0,1445.0,1308.4,1407.44,1402.58,0
BEL,0,395.7,0,421.1,410.7,389.82,412.97,0
HINDZINC,0,618.2,0,642.5,698.7,481.42,660.99,0
HAL,0,4606.9,0,4500.0,4305.7,4634.62,4410.01,0
JSWSTEEL,0,1123.2,0,1144.8,1170.0,1083.1,1178.48,0
