ticker,st73_signal,st73_value,st72_signal,st72_value,close_price,DMA_200
NUVOCO,0,468.8,0,456.0,447.45,363.67
GALLANTT,0,616.9,0,655.7,661.5,462.46
SYRMA,0,750.0,0,785.3,827.55,574.41
DOMS,0,2411.1,0,2500.6,2622.3,2592.23
BATAINDIA,0,1178.9,0,1209.3,1237.7,1247.97
NATCOPHARM,0,902.8,0,843.3,884.25,984.9
FIVESTAR,0,575.6,0,561.3,537.8,688.38
SPLPETRO,0,763.7,0,785.6,841.25,700.8
ELGIEQUIP,0,461.2,0,475.2,500.35,513.34
CUB,1,193.6,0,198.9,211.91,184.04
PCBL,1,364.0,0,377.7,413.55,400.66
SIGNATURE,0,1151.2,0,1095.6,1107.6,1183.4
AKZOINDIA,0,3514.7,0,3465.9,3374.8,3462.01
ABDL,0,506.2,0,523.2,549.65,404.64
TRIDENT,0,28.0,0,28.7,30.12,29.47
SWANCORP,0,429.3,0,446.8,488.35,496.57
NIVABUPA,0,86.5,0,81.1,82.39,81.56
GESHIP,0,975.3,0,1002.2,1054.4,940.03
KSB,0,800.9,0,821.9,864.45,767.39
FINEORG,0,5012.2,0,4701.1,4905.6,4550.12
BLS,0,360.3,0,377.3,365.35,393.94
INDIAMART,0,2659.3,0,2605.2,2469.6,2320.83
PARADEEP,0,195.9,0,186.9,179.67,144.92
INTELLECT,0,952.8,0,987.3,1061.15,918.54
JWL,0,348.5,0,325.5,339.75,381.06
ZENTEC,0,1441.3,0,1499.2,1604.2,1713.66
RAINBOW,0,1524.5,0,1494.2,1418.9,1448.93
AGARWALEYE,0,473.5,0,456.9,455.05,nan
AARTIIND,0,403.3,0,394.7,393.2,424.52
RRKABEL,0,1277.5,0,1201.4,1255.5,1228.91
INDGN,0,548.8,0,562.1,586.55,577.58
GODREJAGRO,0,769.6,0,755.9,731.35,748.11
THELEELA,0,436.1,0,397.7,419.75,nan
KIRLOSENG,0,866.3,0,895.6,964.65,851.1
BELRISE,0,138.3,0,144.4,157.0,nan
