ticker,st73_signal,st73_value,st72_signal,st72_value,close_price,DMA_200,DMA10,10DMA_change
RELIANCE,0,1535.5,0,1510.0,1457.9,1436.05,1484.73,0
HDFCBANK,0,964.5,0,951.5,931.1,973.1,943.08,0
BHARTIARTL,0,2101.5,0,2070.8,2016.4,1950.16,2052.02,0
TCS,0,3272.7,0,3108.5,3206.7,3147.15,3175.94,1
ICICIBANK,0,1372.3,0,1392.4,1410.8,1398.94,1414.74,0
SBIN,0,997.8,0,1011.2,1042.3,861.41,1017.27,0
INFY,0,1569.9,1,1604.5,1689.8,1518.26,1616.93,1
BAJFINANCE,0,990.9,0,975.9,950.25,956.39,959.95,0
HINDUNILVR,0,2292.6,0,2329.0,2360.4,2409.22,2383.06,0
LT,0,4085.8,0,4012.5,3856.4,3697.58,3999.6,0
LICI,0,856.9,0,846.2,820.4,878.05,835.27,0
MARUTI,0,17004.0,0,16663.8,15859.0,14190.86,16640.0,0
HCLTECH,0,1592.6,0,1619.0,1698.0,1544.14,1644.05,0
M&M,0,3636.6,0,3800.8,3658.2,3323.9,3717.96,0
KOTAKBANK,0,438.8,0,432.8,418.2,420.84,426.16,0
ITC,0,351.8,0,345.5,329.2,407.72,338.33,0
AXISBANK,0,1241.7,0,1259.5,1294.2,1181.17,1286.19,0
SUNPHARMA,0,1775.1,0,1744.6,1668.9,1695.18,1729.73,0
TITAN,0,4050.8,0,4124.3,4196.9,3609.97,4185.64,0
ULTRACEMCO,0,11704.8,0,11871.1,12378.0,11947.64,12150.6,0
NTPC,0,333.4,0,350.2,346.35,333.19,345.06,0
ADANIPORTS,0,1493.9,0,1472.6,1421.9,1401.86,1448.66,0
BAJAJFINSV,0,2085.6,0,2053.6,2002.5,2022.48,2016.89,0
ONGC,0,233.0,0,238.1,247.17,236.82,240.77,0
BEL,0,395.7,0,403.9,410.25,386.56,415.37,0
HAL,0,4285.7,0,4362.9,4428.7,4629.6,4483.14,0
JSWSTEEL,0,1123.2,0,1144.1,1187.3,1077.98,1177.73,0
WIPRO,0,259.0,0,268.7,267.45,249.95,263.9,1
ADANIENT,0,2268.0,0,2229.8,2157.3,2413.08,2197.44,0
ADANIPOWER,0,137.7,0,141.3,142.63,129.5,143.88,0
HINDZINC,0,667.5,0,612.4,637.75,475.01,630.31,0
VEDL,0,626.4,0,642.9,682.7,466.97,637.17,0
COALINDIA,0,403.6,0,412.9,431.0,378.08,428.64,0
BAJAJ-AUTO,0,9225.0,0,9418.8,9489.0,8617.88,9588.7,0
ASIANPAINT,0,2733.2,0,2907.6,2756.9,2502.8,2820.89,0
ETERNAL,0,270.4,0,278.7,287.7,284.03,286.06,0
TMPV,0,370.6,0,363.3,353.6,nan,359.34,0
NESTLEIND,0,1252.1,0,1273.2,1315.9,1208.78,1308.91,0
DMART,0,3842.0,0,3661.8,3775.7,4184.17,3772.79,0
POWERGRID,0,272.0,0,266.8,257.3,281.64,261.29,0
TATASTEEL,0,177.2,0,181.2,188.21,162.82,184.68,0
IOC,0,167.9,0,164.2,161.32,144.91,160.09,1
HINDALCO,0,899.3,0,918.0,934.65,732.73,931.91,0
SBILIFE,0,1997.1,0,2027.3,2081.0,1852.27,2079.41,1
EICHERMOT,0,7242.0,0,7621.8,7315.0,6238.91,7449.3,0
GRASIM,0,2751.1,0,2870.7,2809.6,2758.46,2816.29,0
HYUNDAI,0,2370.0,0,2370.1,2340.4,2181.32,2314.18,0
SHRIRAMFIN,0,945.7,0,969.2,995.45,709.88,990.89,1
LTIM,0,5964.9,1,5914.7,6308.0,5338.23,6070.5,1
INDIGO,0,4961.9,0,4884.2,4740.0,5545.37,4862.2,0
JIOFIN,0,304.9,0,298.9,278.8,296.72,292.36,0
TVSMOTOR,0,3653.3,0,3819.6,3667.8,3188.71,3769.02,0
VBL,0,472.5,0,483.2,500.4,483.24,498.74,0
DIVISLAB,0,6643.5,0,6607.6,6236.0,6340.23,6477.15,0
