ticker,st73_signal,st73_value,st72_signal,st72_value,close_price,DMA_200,DMA10,10DMA_change
TTML,0,42.5,0,45.5,51.36,59.47,50.1,1
LATENTVIEW,0,439.7,0,449.9,484.3,419.39,479.92,0
RELAXO,0,426.5,0,387.0,401.0,438.24,406.63,0
THANGAMAYL,0,2896.6,0,3031.7,3214.9,2163.56,3220.03,0
IIFLCAPS,0,328.3,0,296.1,315.95,292.25,317.36,0
METROPOLIS,0,2003.3,0,1971.4,1911.9,1853.44,1923.46,0
NCC,0,171.7,0,167.6,157.85,208.03,163.41,0
LLOYDSENT,1,51.2,1,55.0,64.79,64.06,56.72,0
WAAREERTL,0,1040.1,0,1005.2,945.7,nan,965.71,0
OLECTRA,0,1316.9,0,1273.8,1197.4,1323.99,1204.87,0
JKLAKSHMI,0,808.4,0,790.3,781.4,845.89,769.62,0
VARROC,0,611.4,0,676.0,632.0,546.43,639.33,0
SHAKTIPUMP,0,611.9,0,665.6,780.45,853.47,636.41,0
SANOFI,0,4400.2,0,4329.0,4169.6,5323.54,4281.7,0
MEDPLUS,0,754.1,0,775.4,801.55,819.46,809.37,0
SONATSOFTW,0,373.5,0,364.4,344.55,373.8,353.79,0
CLEAN,0,943.1,0,924.3,899.75,1190.68,895.32,0
PGHL,0,5960.8,0,5844.8,5685.0,5760.19,5692.1,0
HFCL,0,72.6,0,70.3,65.43,78.23,67.29,0
BLUEJET,0,601.5,0,582.2,542.0,749.56,550.58,0
INDIASHLTR,0,914.5,0,894.7,860.05,871.28,855.25,0
VESUVIUS,0,499.2,0,488.2,460.35,502.0,476.87,0
JSLL,0,751.2,0,686.7,751.1,1089.12,700.06,0
RKFORGE,0,554.6,0,514.4,514.95,610.72,524.14,0
ESABINDIA,0,5663.8,0,5862.9,6049.0,5036.95,5983.0,0
GPPL,0,176.0,0,181.6,191.94,149.32,187.09,0
JLHL,0,1507.0,0,1475.2,1407.3,1478.1,1421.81,0
AEQUS,-1,-1,-1,-1,139.99,nan,nan,0
ASKAUTOLTD,0,502.6,0,489.2,464.6,471.16,469.33,0
TIMETECHNO,0,201.6,0,195.0,185.48,207.31,186.23,0
NAZARA,0,250.4,1,217.7,245.4,283.87,233.23,1
RHIM,0,476.3,0,464.2,438.7,464.47,445.53,0
ABFRL,0,81.1,0,78.9,74.16,128.84,75.9,0
MAPMYINDIA,0,1757.6,0,1714.0,1642.6,1755.84,1654.49,0
KRBL,0,379.0,0,413.0,392.35,363.12,392.4,0
EMBDL,0,76.7,0,73.6,64.58,101.55,70.33,0
BALRAMCHIN,0,453.7,0,417.3,443.5,524.97,439.81,0
ZEEL,0,100.1,0,97.9,92.73,113.21,94.93,0
SKFINDIA,0,1916.5,0,1874.5,1791.2,3907.99,1834.6,0
STARCEMENT,0,234.8,0,229.2,218.68,235.56,220.51,0
NESCO,0,1315.9,0,1279.7,1242.5,1173.37,1233.14,0
TARIL,0,230.7,0,252.6,290.65,463.7,257.15,0
BBOX,0,506.1,0,542.9,510.55,478.13,522.69,0
TTKPRESTIG,0,625.5,0,653.9,630.2,637.58,636.91,0
VIKRAMSOLR,0,260.2,0,251.9,236.0,nan,241.88,0
MARKSANS,0,176.1,0,181.7,186.97,209.34,189.08,0
MAHLIFE,0,385.6,0,418.6,396.65,354.68,405.88,0
HONASA,0,284.0,0,273.7,259.9,274.64,264.31,0
SHARDACROP,0,834.7,0,868.8,935.0,776.96,898.99,0
ASTRAMICRO,0,970.0,0,944.5,886.55,955.09,896.79,0
ORKLAINDIA,0,605.1,0,641.8,614.4,nan,617.1,0
KPIGREEN,0,450.6,0,432.5,425.05,465.18,418.17,0
GENUSPOWER,0,328.5,0,319.0,301.95,326.11,303.23,0
ARVIND,0,348.9,0,338.7,317.5,331.67,327.01,0
BIRLACORPN,0,1109.4,0,1014.7,1076.5,1215.9,1064.18,0
GMRP&UI,0,119.2,0,107.7,115.63,115.08,112.01,0
TEJASNET,0,520.0,0,502.0,468.15,643.5,479.31,0
GRWRHITECH,0,4072.2,0,3906.3,3557.0,3572.4,3659.45,0
