ticker,st73_signal,st73_value,st72_signal,st72_value,close_price,DMA_200
RELIANCE,0,1419.1,0,1402.7,1370.0,1338.34
HDFCBANK,0,980.5,0,969.1,965.8,924.15
BHARTIARTL,0,1948.3,0,1921.0,1869.5,1785.64
TCS,0,3043.0,0,2993.9,2915.1,3485.76
ICICIBANK,0,1398.6,0,1382.3,1372.0,1354.37
SBIN,0,833.0,0,846.2,865.15,782.06
BAJFINANCE,0,970.8,0,1028.9,987.35,871.4
INFY,0,1519.8,0,1492.7,1447.9,1619.32
HINDUNILVR,0,2625.0,0,2576.8,2535.0,2378.55
LICI,1,859.5,1,873.9,909.4,851.97
LT,0,3551.6,0,3597.0,3685.0,3482.68
ITC,0,415.0,0,410.1,404.9,417.01
MARUTI,0,15461.7,0,15747.3,15970.0,12570.34
M&M,0,3656.1,0,3578.6,3468.5,3046.67
KOTAKBANK,0,1966.6,1,1954.5,2067.7,2015.64
SUNPHARMA,0,1585.8,1,1566.0,1639.0,1695.06
HCLTECH,0,1464.3,0,1439.4,1391.0,1603.2
AXISBANK,0,1108.7,0,1126.9,1159.5,1101.97
ULTRACEMCO,0,12660.6,0,12458.4,12125.0,11654.31
NTPC,0,331.5,0,336.4,340.25,331.87
HAL,0,4628.5,0,4716.0,4803.4,4338.3
BAJAJFINSV,0,1999.8,0,2062.6,2007.0,1911.57
ADANIPORTS,0,1367.0,0,1444.1,1422.9,1276.65
ONGC,1,230.9,0,234.7,243.2,240.09
ADANIENT,0,2424.4,0,2498.0,2592.7,2403.08
TITAN,0,3521.0,0,3464.9,3404.8,3395.22
ETERNAL,0,320.2,0,339.0,329.0,259.12
ADANIPOWER,0,138.5,0,165.6,152.51,111.55
BEL,0,385.9,0,394.2,406.5,337.4
DMART,0,4794.7,0,4688.4,4449.9,4062.88
JSWSTEEL,0,1090.1,0,1109.6,1145.5,1005.59
TATAMOTORS,1,639.7,1,659.6,718.35,689.78
POWERGRID,0,277.2,0,291.3,280.65,289.6
WIPRO,0,253.5,0,248.4,241.07,262.91
BAJAJ-AUTO,0,9298.3,0,9104.4,8626.5,8304.35
COALINDIA,0,384.1,0,398.5,389.85,376.35
NESTLEIND,0,1207.9,0,1189.6,1166.4,1144.63
ASIANPAINT,0,2469.5,0,2426.0,2335.8,2340.16
INDIGO,0,5908.8,0,5811.1,5606.0,5189.41
HYUNDAI,0,2481.0,0,2756.1,2544.0,1957.89
TATASTEEL,0,165.9,0,173.7,167.51,148.5
IOC,0,142.6,0,145.3,149.7,134.9
HINDZINC,0,439.1,0,453.3,481.75,438.07
JIOFIN,0,311.5,0,305.8,300.05,280.05
EICHERMOT,0,6682.5,0,6805.1,6990.0,5440.49
GRASIM,0,2893.8,0,2840.2,2789.7,2626.41
VEDL,0,429.0,0,439.6,464.85,422.53
SBILIFE,0,1778.9,0,1851.7,1801.1,1655.15
DLF,0,762.1,0,746.5,722.45,749.51
ADANIGREEN,0,1006.2,0,1135.4,1064.7,971.69
TRENT,0,5039.8,0,4928.5,4832.0,5531.16
HINDALCO,0,721.5,0,733.7,766.0,653.49
HDFCLIFE,0,801.0,0,786.6,764.0,707.64
