ticker,st73_signal,st73_value,st72_signal,st72_value,close_price,DMA_200
RELIANCE,0,1422.4,0,1406.4,1377.6,1336.8
HDFCBANK,0,980.5,0,969.1,945.05,917.01
BHARTIARTL,0,1870.9,0,1898.9,1916.6,1781.58
TCS,0,3082.1,0,3029.1,2899.1,3508.08
ICICIBANK,0,1413.2,0,1397.1,1359.6,1353.88
SBIN,0,830.6,0,844.6,856.95,781.64
BAJFINANCE,0,970.8,0,1038.6,985.1,867.18
INFY,0,1551.5,0,1521.0,1448.9,1627.05
HINDUNILVR,0,2654.2,0,2610.3,2511.8,2376.87
LICI,0,906.7,0,904.7,872.45,852.26
LT,0,3551.6,0,3597.0,3729.5,3485.29
MARUTI,0,15461.7,0,15747.3,16286.0,12497.2
ITC,0,415.0,0,410.1,405.1,417.69
M&M,0,3719.8,0,3636.4,3396.5,3040.84
KOTAKBANK,0,1966.6,0,2061.1,1994.8,2012.2
SUNPHARMA,0,1585.8,0,1633.8,1586.7,1697.86
HCLTECH,0,1494.9,0,1466.4,1395.3,1610.82
AXISBANK,0,1108.7,0,1126.9,1154.0,1102.04
ULTRACEMCO,0,12710.1,0,12504.9,12070.0,11651.5
NTPC,0,331.5,0,336.4,337.9,332.05
BAJAJFINSV,0,1999.8,0,2087.1,2003.2,1909.96
HAL,0,4628.5,0,4716.0,4736.1,4336.01
ADANIPORTS,0,1367.0,0,1459.4,1392.0,1274.95
ONGC,0,240.4,0,234.1,238.02,240.16
TITAN,0,3521.0,0,3464.9,3327.3,3396.34
DMART,0,4897.2,0,4788.0,4517.8,4054.96
ADANIENT,0,2424.4,0,2498.0,2543.7,2402.47
ETERNAL,0,320.2,0,340.1,321.0,258.58
BEL,0,385.9,0,394.2,395.9,336.02
ADANIPOWER,0,138.5,0,171.8,146.25,110.92
JSWSTEEL,0,1090.1,0,1109.6,1130.8,1004.26
POWERGRID,0,277.2,0,281.7,282.25,289.81
TATAMOTORS,0,714.6,0,698.1,672.9,691.21
WIPRO,0,253.5,0,248.4,235.75,263.77
BAJAJ-AUTO,0,8684.3,0,9139.9,8702.0,8305.44
COALINDIA,0,384.1,0,400.0,389.15,376.41
ASIANPAINT,0,2506.5,0,2460.8,2342.8,2340.77
NESTLEIND,0,1156.6,0,1209.8,1162.6,1148.52
INDIGO,0,5908.8,0,5811.1,5561.0,5171.57
HYUNDAI,0,2481.0,0,2587.4,2639.2,1945.75
TATASTEEL,0,165.9,0,176.2,167.4,148.17
IOC,0,142.0,0,144.1,145.04,134.76
EICHERMOT,0,6682.5,0,6805.1,7047.0,5429.24
HINDZINC,0,432.1,0,442.8,449.1,438.32
JIOFIN,0,315.2,0,309.4,295.85,280.69
GRASIM,0,2927.9,0,2876.3,2746.8,2625.28
SBILIFE,0,1778.9,0,1860.4,1798.8,1653.41
DLF,0,770.8,0,753.9,716.05,751.7
VEDL,0,429.0,0,439.1,447.95,422.87
ADANIGREEN,0,1006.2,0,1157.1,1047.4,973.02
TRENT,0,5091.1,0,4966.6,4679.0,5565.25
HINDALCO,0,721.5,0,733.7,743.85,652.54
HDFCLIFE,0,806.1,0,792.2,764.4,706.98
TVSMOTOR,0,3370.1,0,3552.8,3414.4,2722.59
IRFC,0,130.3,0,127.9,121.91,132.58
DIVISLAB,0,6141.1,0,6007.5,5689.5,6095.26
VBL,0,476.9,0,467.4,444.75,514.56
LTIM,0,5487.7,0,5365.3,5075.0,5194.16
PIDILITIND,0,1570.1,0,1541.7,1474.8,1468.41
BRITANNIA,0,5862.6,0,6154.0,5920.5,5283.37
BAJAJHLDNG,0,13611.6,0,13381.4,12698.0,12501.04
BPCL,0,310.4,0,316.7,324.35,296.04
AMBUJACEM,0,593.7,0,599.7,565.2,549.0
CHOLAFIN,0,1519.5,0,1554.8,1569.9,1463.25
PFC,0,395.2,0,414.6,397.3,406.49
BANKBARODA,0,241.6,0,246.4,248.45,229.55
ENRIN,0,3272.5,0,3371.8,3516.2,nan
TECHM,0,1528.1,0,1492.9,1407.7,1545.24
SOLARINDS,0,14939.8,0,14641.1,13766.0,12756.86
PNB,0,107.5,0,114.3,107.79,100.24
TATAPOWER,0,379.1,0,396.5,383.8,381.89
MUTHOOTFIN,0,2876.9,0,2941.9,3020.3,2384.0
CIPLA,0,1576.3,0,1547.6,1499.4,1486.9
TORNTPHARM,0,3519.1,0,3721.8,3561.0,3317.96
HDFCAMC,0,5899.6,0,5911.7,5621.0,4627.53
GODREJCP,0,1256.2,0,1228.5,1163.9,1173.2
CGPOWER,0,797.2,0,781.0,739.4,666.33
SHRIRAMFIN,0,595.6,0,635.2,606.05,619.48
MAZDOCK,0,2802.3,0,3023.3,2827.6,2723.23
LODHA,0,1228.6,0,1201.4,1141.1,1278.12
GAIL,0,182.4,0,179.3,172.02,178.18
BOSCHLTD,0,40514.5,0,39804.7,38150.0,32557.24
MOTHERSON,0,102.8,0,110.8,105.66,95.79
TATACONSUM,0,1072.6,0,1094.1,1119.0,1045.92
SIEMENS,0,3322.8,0,3253.7,3096.3,3227.62
POLYCAB,0,7216.3,0,7707.6,7322.5,6268.49
ABB,0,5434.8,0,5345.1,5173.4,5694.69
CUMMINSIND,0,3919.8,0,4109.7,3947.6,3228.65
MAXHEALTH,0,1195.3,0,1170.8,1123.4,1147.15
APOLLOHOSP,0,7880.1,0,7773.6,7510.0,7058.96
CANBK,0,115.0,0,117.8,118.08,99.98
HEROMOTOCO,0,5173.5,0,5265.5,5328.0,4215.31
DIXON,0,18796.8,0,18466.0,17511.0,15784.32
ADANIENSOL,0,832.4,0,865.7,879.2,820.85
JINDALSTEL,0,989.6,0,1010.3,1029.5,929.33
SHREECEM,0,30845.0,0,30301.7,28910.0,29138.79
DRREDDY,0,1334.7,0,1310.6,1253.1,1238.28
MANKIND,0,2648.5,0,2591.4,2482.9,2504.67
UNIONBANK,0,130.3,0,133.6,134.08,125.35
INDHOTEL,0,773.0,0,755.9,709.8,777.42
ZYDUSLIFE,0,1059.6,0,1036.8,975.0,941.01
SWIGGY,0,410.8,0,453.2,420.65,398.09
RECLTD,0,390.6,0,383.8,367.4,408.6
HAVELLS,0,1599.6,0,1573.0,1507.4,1553.6
IDBI,0,95.6,0,89.2,89.57,84.1
INDIANB,0,670.3,0,683.0,706.35,580.51
UNITDSPR,0,1357.6,0,1359.2,1297.4,1423.2
ICICIGI,0,1939.4,0,1824.8,1894.0,1859.25
WAAREEENER,0,3714.0,0,3570.5,3207.6,2777.49
GMRAIRPORT,0,86.9,0,91.9,87.28,82.81
BAJAJHFL,0,115.0,0,113.5,110.43,118.79
INDUSTOWER,0,334.1,0,344.0,346.3,364.21
MARICO,0,736.4,0,724.4,698.35,679.17
JSWENERGY,0,511.6,0,548.6,520.1,523.77
HINDPETRO,0,403.7,0,411.4,422.25,378.05
DABUR,0,535.8,0,524.0,499.75,500.98
LUPIN,0,2059.8,0,2017.6,1919.8,2011.59
IDEA,0,7.5,0,7.9,8.02,7.54
