ticker,st73_signal,st73_value,st72_signal,st72_value,close_price,DMA_200,DMA10,10DMA_change
RELIANCE,0,1450.7,0,1420.5,1358.0,1449.03,1410.72,0
HDFCBANK,0,925.3,0,910.1,879.4,971.33,908.53,0
BHARTIARTL,0,2001.9,0,1958.6,1873.2,1973.47,1954.19,0
SBIN,0,1160.0,0,1182.4,1189.9,913.32,1210.64,0
ICICIBANK,0,1349.5,0,1373.9,1374.0,1400.26,1394.15,0
TCS,0,2819.4,0,2747.0,2613.5,3091.47,2655.43,0
BAJFINANCE,0,968.8,0,1025.9,978.25,967.87,1014.79,0
LT,0,4406.7,0,4290.6,4066.7,3809.14,4287.41,0
HINDUNILVR,0,2465.5,0,2411.9,2320.6,2419.72,2335.05,0
LICI,0,829.3,0,873.8,841.95,886.21,869.26,0
INFY,0,1418.8,0,1374.5,1288.9,1523.8,1325.98,0
MARUTI,0,15443.2,0,15110.1,14388.0,14658.29,14974.9,0
AXISBANK,0,1321.6,0,1346.3,1372.3,1208.92,1378.81,0
SUNPHARMA,0,1699.9,0,1725.4,1752.5,1677.24,1738.28,0
KOTAKBANK,0,434.5,0,412.2,413.1,419.7,422.48,0
M&M,0,3576.3,0,3493.8,3334.3,3425.16,3445.22,0
ITC,0,306.8,0,324.1,314.9,385.95,322.64,0
TITAN,0,4133.8,0,4199.9,4270.3,3737.12,4275.22,0
HCLTECH,0,1505.2,0,1459.4,1371.0,1554.65,1411.39,0
ULTRACEMCO,0,12469.8,0,12965.8,12521.0,12113.08,12860.2,0
NTPC,0,364.0,0,371.2,377.55,333.58,375.74,0
ONGC,0,262.2,0,269.9,282.2,236.4,275.51,0
ADANIPORTS,0,1434.2,0,1557.6,1470.3,1436.44,1532.37,0
BEL,0,417.1,0,428.0,453.95,405.25,443.29,0
BAJAJFINSV,0,2078.1,0,2038.2,1941.9,2023.05,2031.75,0
JSWSTEEL,0,1205.7,0,1229.2,1267.3,1111.91,1254.26,0
VEDL,0,738.6,0,687.7,723.35,510.29,698.82,0
POWERGRID,0,288.2,0,295.0,296.8,276.98,300.9,0
ADANIENT,0,2051.5,0,2114.9,2124.6,2378.89,2188.01,0
BAJAJ-AUTO,0,9476.4,0,9687.0,9776.0,8903.24,9903.25,0
ADANIPOWER,0,134.6,0,144.0,137.97,134.26,142.03,0
HAL,0,4240.5,0,4128.4,3951.6,4572.48,4060.3,0
TATASTEEL,0,198.8,0,204.0,211.01,171.73,209.67,0
COALINDIA,0,440.2,0,414.9,426.25,381.6,425.97,0
HINDZINC,0,646.9,0,626.9,617.65,504.78,597.83,0
IOC,0,175.6,0,189.4,179.11,150.81,179.54,0
DMART,0,3734.9,0,3946.2,3802.5,4132.98,3861.71,0
NESTLEIND,0,1254.3,0,1277.8,1279.7,1222.14,1300.64,0
ETERNAL,0,269.7,0,259.7,242.87,291.42,260.79,0
ASIANPAINT,0,2461.6,0,2411.3,2307.1,2517.94,2403.58,0
EICHERMOT,0,7547.2,0,7739.7,7826.0,6551.15,7988.0,0
HINDALCO,0,983.5,0,952.3,940.0,779.14,921.32,0
WIPRO,0,215.5,0,209.5,198.57,241.92,205.73,0
SBILIFE,0,2132.5,0,2023.2,2032.2,1907.23,2064.04,0
SHRIRAMFIN,0,1014.8,0,1042.1,1052.5,768.73,1071.4,0
GRASIM,0,2755.3,0,2870.8,2777.3,2781.57,2860.3,0
TMCV,0,455.6,0,470.5,498.0,nan,485.57,0
TVSMOTOR,0,3687.6,0,3773.1,3813.1,3344.61,3862.36,0
INDIGO,0,4979.3,0,4847.0,4520.4,5478.88,4856.81,0
HYUNDAI,0,2299.7,0,2117.9,2148.0,2254.0,2205.2,0
DIVISLAB,0,5997.9,0,6155.4,6403.5,6384.84,6329.0,0
BANKBARODA,0,301.3,0,308.3,315.2,266.35,312.58,0
BPCL,0,361.4,0,369.1,374.8,330.71,376.36,0
JIOFIN,0,249.0,0,259.4,249.0,299.19,257.41,0
ICICIAMC,0,2851.0,0,2947.9,3090.1,nan,3083.83,0
HDFCLIFE,0,698.5,0,741.4,707.3,757.49,726.62,0
UNIONBANK,0,185.0,0,190.9,198.13,149.6,196.51,0
