ticker,st73_signal,st73_value,st72_signal,st72_value,close_price,DMA_200
RELIANCE,0,1399.5,0,1422.0,1465.2,1348.65
HDFCBANK,0,963.2,0,977.8,1007.7,928.29
BHARTIARTL,0,1950.8,0,1983.3,2043.5,1808.4
TCS,0,2872.5,0,2922.0,3006.7,3399.2
ICICIBANK,0,1370.6,0,1426.3,1382.0,1359.84
SBIN,0,870.9,0,883.3,907.85,787.12
BAJFINANCE,0,1024.6,0,1044.7,1086.5,892.65
HINDUNILVR,0,2611.2,0,2520.8,2591.7,2391.76
INFY,0,1517.1,0,1501.1,1472.4,1593.63
LICI,0,872.2,0,916.0,892.1,852.45
LT,0,3730.4,0,3782.3,3888.2,3492.57
ITC,0,399.7,0,404.2,412.85,413.71
MARUTI,0,15775.1,0,15999.7,16396.0,12898.7
M&M,0,3653.7,0,3492.1,3621.2,3079.14
KOTAKBANK,0,2117.0,0,2155.7,2197.0,2040.24
SUNPHARMA,0,1618.0,0,1642.0,1690.5,1685.9
HCLTECH,0,1419.2,0,1446.0,1486.0,1566.45
AXISBANK,0,1153.6,0,1179.2,1237.3,1108.75
ULTRACEMCO,0,12602.1,0,12416.6,12342.0,11697.66
BAJAJFINSV,0,2039.2,0,2079.1,2169.1,1943.42
NTPC,0,331.4,0,344.8,342.0,332.38
TITAN,0,3540.6,0,3604.6,3729.0,3409.07
ADANIPOWER,0,151.1,0,157.8,170.78,114.91
HAL,0,4627.5,0,4723.1,4858.2,4374.73
ADANIPORTS,0,1397.8,0,1423.8,1473.5,1291.41
ONGC,0,237.1,0,240.8,248.12,240.77
ETERNAL,0,328.4,0,336.1,338.1,263.03
BEL,0,396.5,0,403.6,417.7,344.59
ADANIENT,0,2423.3,0,2497.3,2549.9,2410.23
JSWSTEEL,0,1102.7,0,1123.8,1152.5,1020.89
DMART,0,4492.7,0,4402.3,4274.5,4110.8
POWERGRID,0,277.5,0,291.9,288.6,287.81
BAJAJ-AUTO,0,9158.9,0,8859.4,9118.0,8325.02
WIPRO,0,238.2,0,251.1,241.36,259.89
NESTLEIND,0,1197.1,0,1229.2,1287.3,1158.02
COALINDIA,0,397.8,0,392.7,391.1,377.13
ASIANPAINT,0,2362.4,0,2414.6,2504.6,2346.0
INDIGO,0,5664.2,0,5751.9,5913.0,5263.98
IOC,0,146.8,0,149.4,154.13,136.1
TATASTEEL,0,165.8,0,167.7,172.78,150.67
HINDZINC,0,465.2,0,480.6,483.85,440.95
JIOFIN,0,296.4,0,301.7,311.8,279.68
GRASIM,0,2894.5,0,2779.8,2870.7,2645.31
EICHERMOT,0,6714.7,0,6827.3,7018.5,5599.36
