ticker,st73_signal,st73_value,st72_signal,st72_value,close_price,DMA_200,DMA10,10DMA_change
RELIANCE,0,1430.0,0,1451.5,1493.4,1364.73,1486.68,0
HDFCBANK,0,969.5,0,1005.4,991.7,939.9,989.96,1
BHARTIARTL,0,2139.3,0,2096.4,2042.3,1841.08,2068.02,0
TCS,0,2933.2,0,2981.2,3047.0,3330.23,3022.3,0
ICICIBANK,0,1379.5,0,1362.9,1358.3,1367.83,1346.8,0
SBIN,0,923.2,0,936.6,953.3,800.38,949.7,0
INFY,0,1448.3,0,1473.0,1530.3,1544.03,1489.51,0
BAJFINANCE,0,1116.3,0,1084.3,1005.2,916.1,1051.39,0
HINDUNILVR,0,2508.4,0,2476.6,2427.5,2381.02,2432.67,0
LICI,0,872.2,0,878.8,900.6,856.55,905.61,0
LT,0,3818.5,0,3990.7,3955.0,3521.1,3944.34,1
ITC,0,421.1,0,415.8,406.85,412.39,411.64,0
MARUTI,0,16188.0,0,15918.5,15645.0,13191.02,15708.8,0
M&M,0,3481.6,0,3559.3,3749.1,3120.12,3595.7,0
HCLTECH,0,1479.3,0,1505.2,1570.0,1546.25,1539.96,0
KOTAKBANK,0,2178.9,0,2145.7,2086.9,2063.24,2104.77,0
SUNPHARMA,0,1630.8,0,1655.5,1716.1,1679.64,1698.76,0
AXISBANK,0,1183.8,0,1203.7,1222.5,1122.34,1229.79,0
ULTRACEMCO,0,12239.7,0,12088.0,11825.0,11765.24,11889.9,0
TITAN,0,3632.2,0,3692.6,3812.4,3434.96,3775.63,0
NTPC,0,340.7,0,335.2,326.65,330.84,331.1,0
HAL,1,4572.6,0,4659.2,4862.6,4424.92,4696.4,0
ADANIPORTS,0,1397.8,0,1475.3,1474.4,1312.7,1450.21,0
BEL,0,402.2,0,405.5,427.3,354.34,416.3,0
ONGC,0,243.5,0,247.8,249.45,240.64,253.23,0
BAJAJFINSV,0,2190.1,0,2135.3,1989.4,1972.18,2084.09,0
ADANIPOWER,0,164.0,0,159.1,151.17,118.75,156.19,0
JSWSTEEL,0,1137.6,0,1160.9,1191.5,1038.86,1189.58,1
ETERNAL,0,330.7,0,321.8,305.8,267.57,316.73,0
ADANIENT,0,2535.1,0,2476.3,2366.8,2411.0,2427.31,0
DMART,0,4252.9,0,4181.1,4072.2,4143.25,4124.92,0
POWERGRID,0,281.5,0,276.4,267.65,282.03,276.17,0
ASIANPAINT,0,2515.5,0,2560.1,2657.2,2365.61,2558.29,0
WIPRO,0,247.1,0,243.9,241.69,256.93,239.93,1
BAJAJ-AUTO,0,9065.8,0,8936.3,8895.0,8353.96,8838.3,1
NESTLEIND,0,1215.9,0,1233.3,1268.1,1170.27,1268.1,0
IOC,0,160.4,0,163.6,172.44,138.57,167.81,0
COALINDIA,0,387.3,0,385.3,382.8,368.96,377.45,0
TATASTEEL,0,173.1,0,176.8,181.04,154.34,181.48,0
INDIGO,0,5906.2,0,5803.4,5782.5,5370.74,5678.0,1
HINDZINC,0,465.2,0,488.0,487.5,443.72,477.89,0
VEDL,0,483.9,0,496.8,523.85,430.75,510.94,0
SBILIFE,0,1903.5,0,1936.2,1997.3,1716.91,1976.34,0
HYUNDAI,0,2460.0,0,2299.2,2356.0,2035.84,2381.95,0
GRASIM,0,2899.3,0,2835.2,2775.8,2677.85,2842.81,0
JIOFIN,0,297.6,0,307.0,304.9,280.95,304.72,1
EICHERMOT,0,6714.7,0,7064.0,6873.0,5730.4,6916.35,0
HINDALCO,0,845.3,0,824.6,793.75,680.16,823.32,0
DLF,0,742.4,0,754.9,765.25,744.32,768.09,0
ADANIGREEN,0,1017.0,0,1116.8,1044.2,974.08,1087.65,0
DIVISLAB,0,6483.2,0,6910.1,6539.5,6176.18,6708.9,0
LTIM,0,5380.0,0,5485.5,5710.5,5115.27,5657.5,1
TRENT,0,4650.4,0,4538.3,4315.8,5260.61,4616.0,0
TVSMOTOR,0,3662.2,0,3576.4,3474.2,2883.46,3491.35,0
HDFCLIFE,0,775.7,1,729.1,763.9,725.53,746.05,0
BPCL,0,343.7,0,351.3,374.15,300.23,359.83,0
IRFC,0,125.8,0,123.9,121.61,128.21,122.39,0
VBL,0,440.7,0,456.5,470.6,491.83,474.3,0
SHRIRAMFIN,0,759.4,0,780.8,832.3,636.51,784.45,0
TMPV,0,390.0,0,398.0,407.6,nan,410.04,0
PIDILITIND,0,1520.9,0,1497.9,1472.9,1476.11,1463.63,1
BANKBARODA,0,269.8,0,276.1,285.85,235.55,284.21,0
CHOLAFIN,0,1637.3,0,1673.5,1741.8,1526.01,1721.28,0
BRITANNIA,0,5766.7,0,5908.3,5950.5,5456.18,5940.9,0
PNB,0,117.0,0,119.1,122.02,102.95,122.13,0
AMBUJACEM,0,585.2,0,552.0,557.55,552.44,564.79,0
TATACAP,0,315.2,0,319.9,325.65,nan,326.77,0
MUTHOOTFIN,0,3138.0,0,3211.1,3389.3,2546.94,3225.18,0
BAJAJHLDNG,0,11471.9,0,11935.7,12156.0,12686.11,12416.6,0
PFC,0,401.6,0,392.4,375.0,400.72,393.15,0
TORNTPHARM,0,3595.8,0,3679.3,3825.8,3358.32,3631.68,0
TATAPOWER,0,390.5,0,404.7,395.6,383.1,401.16,0
SOLARINDS,0,14240.7,0,13964.8,13788.0,13335.12,13729.2,1
CANBK,0,131.5,0,134.8,140.87,104.99,137.93,0
TECHM,0,1452.8,0,1433.2,1408.0,1495.35,1415.47,0
CIPLA,0,1580.9,0,1554.8,1514.9,1496.73,1517.42,0
CUMMINSIND,0,4127.7,0,4209.7,4414.2,3365.37,4347.08,0
