rank,ticker,st_config,pct_return,total_pnl,total_trades,winning_trades,win_pct,capital_used,final_capital
84,BLISSGVS,ST72,143.95,14395.16,17,9,52.9,10000,24395.16
85,NATIONALUM,ST73,143.51,14351.23,10,7,70.0,10000,24351.23
86,RAJTV,ST73,141.74,14173.62,5,2,40.0,10000,24173.62
87,TBZ,ST73,141.71,14171.18,10,3,30.0,10000,24171.18
88,HINDPETRO,ST72,141.22,14122.13,17,9,52.9,10000,24122.13
89,VOLTAMP,ST73,140.5,14049.69,10,4,40.0,10000,24049.69
90,SOTL,ST73,138.92,13891.57,7,4,57.1,10000,23891.57
91,ASTERDM,ST72,138.07,13807.39,12,8,66.7,10000,23807.39
92,INOXGREEN,ST73,137.87,13786.7,9,5,55.6,10000,23786.7
93,FORTIS,ST73,136.29,13628.96,6,4,66.7,10000,23628.96
94,LUMAXTECH,ST73,136.14,13613.8,7,4,57.1,10000,23613.8
95,RADICO,ST73,136.13,13612.98,7,5,71.4,10000,23612.98
96,CAPLIPOINT,ST73,134.94,13493.6,6,3,50.0,10000,23493.6
97,WOCKPHARMA,ST72,134.94,13494.34,22,9,40.9,10000,23494.34
98,CRAFTSMAN,ST72,134.45,13444.7,12,8,66.7,10000,23444.7
99,HINDZINC,ST72,134.43,13442.96,19,9,47.4,10000,23442.96
100,TEMBO,ST73,134.4,13440.17,8,4,50.0,10000,23440.17
101,ABDL,ST73,134.23,13422.96,5,3,60.0,10000,23422.96
102,JSWHL,ST72,133.37,13337.15,14,6,42.9,10000,23337.15
103,INOXINDIA,ST73,132.05,13205.09,6,3,50.0,10000,23205.09
104,GABRIEL,ST73,131.89,13188.65,7,4,57.1,10000,23188.65
105,KMEW,ST73,130.9,13089.75,3,3,100.0,10000,23089.75
106,CARTRADE,ST72,130.45,13045.25,18,8,44.4,10000,23045.25
107,AEROFLEX,ST73,126.62,12661.71,9,4,44.4,10000,22661.71
108,TECHNOE,ST72,126.36,12635.58,14,7,50.0,10000,22635.58
109,MANINDS,ST72,123.91,12390.59,19,11,57.9,10000,22390.59
110,PREMEXPLN,ST73,121.7,12169.82,10,6,60.0,10000,22169.82
111,GLAXO,ST73,121.4,12140.14,7,5,71.4,10000,22140.14
112,HFCL,ST73,120.94,12094.44,9,3,33.3,10000,22094.44
113,KSL,ST72,120.7,12069.86,16,8,50.0,10000,22069.86
114,PPLPHARMA,ST72,119.71,11970.77,13,5,38.5,10000,21970.77
115,FORCEMOT,ST73,119.41,11941.47,9,3,33.3,10000,21941.47
116,ZENTEC,ST73,117.96,11796.09,9,5,55.6,10000,21796.09
117,POLICYBZR,ST72,117.54,11754.05,13,8,61.5,10000,21754.05
118,MARKSANS,ST72,117.23,11723.41,16,8,50.0,10000,21723.41
119,THYROCARE,ST73,116.05,11605.06,8,6,75.0,10000,21605.06
120,RPOWER,ST73,115.63,11563.08,9,6,66.7,10000,21563.08
121,IIFL,ST73,115.56,11555.93,6,4,66.7,10000,21555.93
122,MAXESTATES,ST73,114.44,11443.5,7,4,57.1,10000,21443.5
123,ASTRAMICRO,ST72,113.81,11381.26,17,9,52.9,10000,21381.26
124,KSHINTL,ST72,113.5,11350.45,3,3,100.0,10000,21350.45
125,TDPOWERSYS,ST72,112.1,11209.98,17,8,47.1,10000,21209.98
126,ATLANTAELE,ST73,110.77,11077.0,2,2,100.0,10000,21077.0
127,HUDCO,ST73,110.43,11042.93,8,4,50.0,10000,21042.93
128,SMSPHARMA,ST73,110.11,11011.12,8,6,75.0,10000,21011.12
129,SGMART,ST73,107.51,10751.35,2,1,50.0,10000,20751.35
130,SANSERA,ST72,107.41,10740.66,16,10,62.5,10000,20740.66
131,STEELCAS,ST73,106.79,10679.37,4,3,75.0,10000,20679.37
132,LAURUSLABS,ST72,106.54,10653.6,18,9,50.0,10000,20653.6
133,ELECTCAST,ST72,105.6,10559.82,15,7,46.7,10000,20559.82
134,THANGAMAYL,ST72,104.99,10498.54,17,7,41.2,10000,20498.54
135,COFORGE,ST73,104.52,10451.67,10,7,70.0,10000,20451.67
136,VSSL,ST73,104.48,10448.08,5,3,60.0,10000,20448.08
137,MOTHERSON,ST73,103.61,10360.62,10,7,70.0,10000,20360.62
138,TATAINVEST,ST72,103.01,10300.84,17,6,35.3,10000,20300.84
139,PRECWIRE,ST73,102.42,10242.4,9,6,66.7,10000,20242.4
140,SHARDACROP,ST72,102.29,10228.88,15,8,53.3,10000,20228.88
