datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price
2024-07-14T18:30:00.000Z,TCS,EQ,4240.0,4157.05,4235.7,4169.2,4167.35,4183.95,4848030,20381843135.15,4254.75,3311
2024-07-15T18:30:00.000Z,TCS,EQ,4194.55,4144.9,4172.0,4178.45,4171.05,4169.2,2029521,8470051366.65,4254.75,3311
2024-07-17T18:30:00.000Z,TCS,EQ,4325.0,4160.0,4160.0,4315.55,4297.2,4178.45,5613364,23978361639.45,4325.0,3311
2024-07-18T18:30:00.000Z,TCS,EQ,4358.75,4285.25,4317.4,4302.4,4298.0,4315.55,3903354,16859178396.2,4358.75,3311
2024-07-21T18:30:00.000Z,TCS,EQ,4319.95,4265.0,4299.95,4287.35,4282.1,4302.4,1896386,8139560522.25,4358.75,3311
2024-07-22T18:30:00.000Z,TCS,EQ,4361.7,4266.3,4283.0,4302.35,4311.0,4287.35,2365208,10175578824.25,4361.7,3311
2024-07-23T18:30:00.000Z,TCS,EQ,4339.1,4268.1,4287.5,4306.25,4305.0,4302.35,1809793,7799303896.95,4361.7,3311
2024-07-24T18:30:00.000Z,TCS,EQ,4343.0,4274.2,4295.0,4322.5,4332.25,4306.25,2810342,12125310419.4,4361.7,3311
2024-07-25T18:30:00.000Z,TCS,EQ,4422.45,4337.05,4350.0,4387.85,4393.65,4322.5,3552210,15595841522.45,4422.45,3311
2024-07-28T18:30:00.000Z,TCS,EQ,4431.0,4371.0,4415.0,4381.1,4380.0,4387.85,1746803,7669454915.15,4431.0,3311
2024-07-29T18:30:00.000Z,TCS,EQ,4398.0,4327.3,4391.1,4365.35,4353.15,4381.1,1797906,7835871346.1,4431.0,3311
2024-07-30T18:30:00.000Z,TCS,EQ,4414.0,4345.0,4350.0,4385.35,4392.0,4365.35,2330091,10222933214.05,4431.0,3311
2024-07-31T18:30:00.000Z,TCS,EQ,4419.3,4365.05,4399.4,4397.1,4387.0,4385.35,2202244,9667930574.85,4431.0,3311
2024-08-01T18:30:00.000Z,TCS,EQ,4398.0,4270.0,4365.0,4283.05,4283.85,4397.1,2811282,12114777969.55,4431.0,3311
2024-08-04T18:30:00.000Z,TCS,EQ,4239.0,4110.5,4239.0,4155.05,4160.0,4283.05,2787771,11611760562.2,4431.0,3311
