,SUPERT_7_2.0,SUPERTd_7_2.0,SUPERTl_7_2.0,SUPERTs_7_2.0
0,0.0,1,,
1,,1,,
2,,1,,
3,,1,,
4,,1,,
5,,1,,
6,,1,,
7,4100.0467244719075,1,4100.0467244719075,
8,4100.0467244719075,1,4100.0467244719075,
9,4102.454063660545,1,4102.454063660545,
10,4102.51173337373,1,4102.51173337373,
11,4102.51173337373,1,4102.51173337373,
12,4119.328846269837,1,4119.328846269837,
13,4141.369666185135,1,4141.369666185135,
14,4187.916472771335,1,4187.916472771335,
15,4187.916472771335,1,4187.916472771335,
16,4187.916472771335,1,4187.916472771335,
17,4187.916472771335,1,4187.916472771335,
18,4187.916472771335,1,4187.916472771335,
19,4187.916472771335,1,4187.916472771335,
20,4189.547159235973,1,4189.547159235973,
21,4210.981896404146,1,4210.981896404146,
22,4276.060986346082,1,4276.060986346082,
23,4313.304303236581,1,4313.304303236581,
24,4337.063393284755,1,4337.063393284755,
25,4337.063393284755,1,4337.063393284755,
26,4337.063393284755,1,4337.063393284755,
27,4337.063393284755,1,4337.063393284755,
28,4337.063393284755,1,4337.063393284755,
29,4337.063393284755,1,4337.063393284755,
30,4337.063393284755,1,4337.063393284755,
31,4337.063393284755,1,4337.063393284755,
32,4369.4790141778685,1,4369.4790141778685,
33,4394.214508835767,1,4394.214508835767,
34,4394.214508835767,1,4394.214508835767,
35,4394.214508835767,1,4394.214508835767,
36,4394.214508835767,1,4394.214508835767,
37,4394.214508835767,1,4394.214508835767,
38,4394.214508835767,1,4394.214508835767,
39,4394.214508835767,1,4394.214508835767,
40,4394.214508835767,1,4394.214508835767,
41,4394.214508835767,1,4394.214508835767,
42,4394.214508835767,1,4394.214508835767,
43,4394.214508835767,1,4394.214508835767,
44,4394.214508835767,1,4394.214508835767,
45,4394.214508835767,1,4394.214508835767,
46,4474.3444919574895,-1,,4474.3444919574895
47,4435.287863604695,-1,,4435.287863604695
48,4422.096831334367,-1,,4422.096831334367
49,4422.096831334367,-1,,4422.096831334367
50,4384.6271017688005,-1,,4384.6271017688005
51,4384.6271017688005,-1,,4384.6271017688005
52,4384.6271017688005,-1,,4384.6271017688005
53,4369.314520017655,-1,,4369.314520017655
54,4369.314520017655,-1,,4369.314520017655
55,4150.793372849967,1,4150.793372849967,
56,4152.889809435464,1,4152.889809435464,
57,4152.889809435464,1,4152.889809435464,
58,4198.442601403265,1,4198.442601403265,
59,4198.442601403265,1,4198.442601403265,
60,4198.442601403265,1,4198.442601403265,
61,4198.442601403265,1,4198.442601403265,
62,4198.442601403265,1,4198.442601403265,
63,4198.442601403265,1,4198.442601403265,
64,4198.442601403265,1,4198.442601403265,
65,4198.442601403265,1,4198.442601403265,
66,4388.492270862421,-1,,4388.492270862421
67,4388.492270862421,-1,,4388.492270862421
68,4331.995605366951,-1,,4331.995605366951
69,4231.361652672065,-1,,4231.361652672065
70,4213.538192390366,-1,,4213.538192390366
71,4213.538192390366,-1,,4213.538192390366
72,4213.538192390366,-1,,4213.538192390366
73,4213.538192390366,-1,,4213.538192390366
74,4213.538192390366,-1,,4213.538192390366
75,4213.538192390366,-1,,4213.538192390366
76,4182.372346793961,-1,,4182.372346793961
77,4182.372346793961,-1,,4182.372346793961
78,4136.135814588598,-1,,4136.135814588598
79,4117.555674278123,-1,,4117.555674278123
80,4077.1334723567757,-1,,4077.1334723567757
81,4049.517970485147,-1,,4049.517970485147
82,4005.868942480192,-1,,4005.868942480192
83,4002.001929205627,-1,,4002.001929205627
84,4002.001929205627,-1,,4002.001929205627
85,3953.968725802118,-1,,3953.968725802118
86,3953.968725802118,-1,,3953.968725802118
87,3953.968725802118,-1,,3953.968725802118
88,3953.968725802118,-1,,3953.968725802118
89,3953.968725802118,-1,,3953.968725802118
90,3953.968725802118,-1,,3953.968725802118
91,3953.968725802118,-1,,3953.968725802118
92,3953.968725802118,-1,,3953.968725802118
93,3953.968725802118,-1,,3953.968725802118
94,3949.769462700362,-1,,3949.769462700362
95,3915.5024029449723,-1,,3915.5024029449723
96,3861.3234955247044,-1,,3861.3234955247044
97,3861.3234955247044,-1,,3861.3234955247044
98,3861.3234955247044,-1,,3861.3234955247044
99,3861.3234955247044,-1,,3861.3234955247044
100,3861.3234955247044,-1,,3861.3234955247044
101,3861.3234955247044,-1,,3861.3234955247044
102,3861.3234955247044,-1,,3861.3234955247044
103,3861.3234955247044,-1,,3861.3234955247044
104,3700.3093897730073,1,3700.3093897730073,
105,3700.3093897730073,1,3700.3093897730073,
106,3700.3093897730073,1,3700.3093897730073,
107,3700.3093897730073,1,3700.3093897730073,
108,3722.8756869450167,1,3722.8756869450167,
109,3739.5077312929743,1,3739.5077312929743,
110,3739.5077312929743,1,3739.5077312929743,
111,3768.5143537060885,1,3768.5143537060885,
112,3786.9123031853183,1,3786.9123031853183,
113,3786.9123031853183,1,3786.9123031853183,
114,3786.9123031853183,1,3786.9123031853183,
115,3795.5671498604165,1,3795.5671498604165,
116,3824.143271440117,1,3824.143271440117,
117,3824.143271440117,1,3824.143271440117,
118,3824.143271440117,1,3824.143271440117,
119,3824.143271440117,1,3824.143271440117,
120,3824.143271440117,1,3824.143271440117,
121,4012.754444590027,-1,,4012.754444590027
122,4008.2823810289083,-1,,4008.2823810289083
123,3997.8456123010988,-1,,3997.8456123010988
124,3995.7998105203396,-1,,3995.7998105203396
125,3995.7998105203396,-1,,3995.7998105203396
126,3995.7998105203396,-1,,3995.7998105203396
127,3991.606294650093,-1,,3991.606294650093
128,3970.5875382641098,-1,,3970.5875382641098
129,3970.5875382641098,-1,,3970.5875382641098
130,3970.5875382641098,-1,,3970.5875382641098
131,3970.5875382641098,-1,,3970.5875382641098
132,3800.52689516338,1,3800.52689516338,
133,3800.52689516338,1,3800.52689516338,
134,3800.52689516338,1,3800.52689516338,
135,3819.3226949151194,1,3819.3226949151194,
136,3819.3226949151194,1,3819.3226949151194,
137,3819.3226949151194,1,3819.3226949151194,
138,3819.3226949151194,1,3819.3226949151194,
139,3819.3226949151194,1,3819.3226949151194,
140,3819.3226949151194,1,3819.3226949151194,
141,3819.3226949151194,1,3819.3226949151194,
142,3819.3226949151194,1,3819.3226949151194,
143,3819.3226949151194,1,3819.3226949151194,
144,3819.3226949151194,1,3819.3226949151194,
145,3819.3226949151194,1,3819.3226949151194,
146,3819.3226949151194,1,3819.3226949151194,
147,3830.08885670914,1,3830.08885670914,
148,3849.890448607415,1,3849.890448607415,
149,3967.820384514703,1,3967.820384514703,
150,3996.017472441764,1,3996.017472441764,
151,3996.017472441764,1,3996.017472441764,
152,3996.017472441764,1,3996.017472441764,
153,3996.017472441764,1,3996.017472441764,
154,3996.017472441764,1,3996.017472441764,
155,3996.017472441764,1,3996.017472441764,
156,3996.017472441764,1,3996.017472441764,
157,3996.017472441764,1,3996.017472441764,
158,3996.017472441764,1,3996.017472441764,
159,3996.017472441764,1,3996.017472441764,
160,3996.017472441764,1,3996.017472441764,
161,3996.017472441764,1,3996.017472441764,
162,3996.017472441764,1,3996.017472441764,
163,3996.017472441764,1,3996.017472441764,
164,3996.017472441764,1,3996.017472441764,
165,3996.017472441764,1,3996.017472441764,
166,3996.017472441764,1,3996.017472441764,
167,4231.174710080723,-1,,4231.174710080723
168,4231.174710080723,-1,,4231.174710080723
169,4231.174710080723,-1,,4231.174710080723
170,4231.174710080723,-1,,4231.174710080723
171,4231.174710080723,-1,,4231.174710080723
172,4231.174710080723,-1,,4231.174710080723
173,4231.174710080723,-1,,4231.174710080723
174,4231.174710080723,-1,,4231.174710080723
