datetime,Symbol,Series,high,low,open,close,Last Price,Prev Close Price,volume,Total Traded Value,52 Week High Price,52 Week Low Price
2024-07-14T18:30:00.000Z,INFY,EQ,1728.0,1702.65,1726.2,1707.05,1709.0,1711.75,6942230,11910304891.25,1733.0,1305.0
2024-07-15T18:30:00.000Z,INFY,EQ,1737.9,1700.0,1718.6,1726.05,1725.1,1707.05,6886281,11870510393.35,1737.9,1305.0
2024-07-17T18:30:00.000Z,INFY,EQ,1765.4,1719.0,1719.0,1758.05,1764.05,1726.05,11248896,19658277359.25,1765.4,1305.0
2024-07-18T18:30:00.000Z,INFY,EQ,1844.0,1786.45,1844.0,1792.95,1789.35,1758.05,29819116,53988794114.7,1844.0,1305.0
2024-07-21T18:30:00.000Z,INFY,EQ,1823.0,1792.95,1800.15,1810.85,1810.0,1792.95,8462126,15322728881.1,1844.0,1324.25
2024-07-22T18:30:00.000Z,INFY,EQ,1839.95,1783.25,1810.0,1836.9,1832.9,1810.85,7113056,12926022858.9,1844.0,1324.25
2024-07-23T18:30:00.000Z,INFY,EQ,1842.35,1819.6,1837.5,1833.95,1835.7,1836.9,6002845,10989083504.35,1844.0,1324.25
2024-07-24T18:30:00.000Z,INFY,EQ,1830.9,1812.0,1820.0,1824.85,1826.35,1833.95,5815599,10603890936.7,1844.0,1324.25
2024-07-25T18:30:00.000Z,INFY,EQ,1883.0,1825.35,1825.35,1878.9,1880.0,1824.85,11369047,21281566352.95,1883.0,1324.25
2024-07-28T18:30:00.000Z,INFY,EQ,1903.0,1864.0,1893.6,1871.1,1874.95,1878.9,4635931,8702853106.45,1903.0,1333.25
2024-07-29T18:30:00.000Z,INFY,EQ,1879.95,1860.0,1871.1,1877.15,1875.2,1871.1,2721265,5089317285.25,1903.0,1333.25
2024-07-30T18:30:00.000Z,INFY,EQ,1885.15,1865.05,1877.0,1868.25,1869.0,1877.15,5004209,9359589029.4,1903.0,1333.25
2024-07-31T18:30:00.000Z,INFY,EQ,1867.9,1845.1,1856.1,1852.6,1847.65,1868.25,7475014,13864207889.1,1903.0,1333.25
2024-08-01T18:30:00.000Z,INFY,EQ,1859.5,1816.15,1843.0,1821.2,1819.0,1852.6,7400938,13537736459.15,1903.0,1333.25
2024-08-04T18:30:00.000Z,INFY,EQ,1797.5,1718.55,1784.95,1751.9,1751.45,1821.2,10736703,18769378971.85,1903.0,1351.65
2024-08-05T18:30:00.000Z,INFY,EQ,1796.95,1744.85,1760.2,1751.1,1756.0,1751.9,7690163,13555453181.95,1903.0,1351.65
2024-08-06T18:30:00.000Z,INFY,EQ,1797.9,1762.1,1796.0,1791.65,1792.0,1751.1,5094329,9079119381.9,1903.0,1351.65
2024-08-07T18:30:00.000Z,INFY,EQ,1779.95,1727.1,1779.95,1743.15,1739.0,1791.65,6227910,10890209220.55,1903.0,1351.65
2024-08-08T18:30:00.000Z,INFY,EQ,1780.75,1756.0,1771.25,1770.75,1770.7,1743.15,4258524,7523890127.9,1903.0,1351.65
2024-08-11T18:30:00.000Z,INFY,EQ,1803.5,1768.1,1773.05,1797.4,1793.3,1770.75,4315329,7737916018.35,1903.0,1351.65
2024-08-12T18:30:00.000Z,INFY,EQ,1810.0,1789.05,1810.0,1797.45,1795.95,1797.4,4176918,7515536069.05,1903.0,1351.65
2024-08-13T18:30:00.000Z,INFY,EQ,1825.0,1797.45,1802.0,1823.25,1820.0,1797.45,7450718,13513504750.8,1903.0,1351.65
2024-08-15T18:30:00.000Z,INFY,EQ,1861.85,1829.5,1850.0,1858.95,1856.95,1823.25,7335657,13533180793.15,1903.0,1351.65
2024-08-18T18:30:00.000Z,INFY,EQ,1867.55,1849.2,1860.0,1864.8,1865.0,1858.95,2585989,4815890949.8,1903.0,1351.65
2024-08-19T18:30:00.000Z,INFY,EQ,1885.7,1868.2,1880.0,1872.2,1871.0,1864.8,3870333,7257635525.75,1903.0,1351.65
2024-08-20T18:30:00.000Z,INFY,EQ,1879.0,1867.1,1875.1,1872.7,1872.6,1872.2,1966902,3681187613.5,1903.0,1351.65
2024-08-21T18:30:00.000Z,INFY,EQ,1893.65,1869.7,1884.0,1880.25,1879.95,1872.7,4300287,8086221002.75,1903.0,1351.65
2024-08-22T18:30:00.000Z,INFY,EQ,1882.6,1857.0,1878.2,1862.1,1865.95,1880.25,5015935,9351150975.1,1903.0,1351.65
2024-08-25T18:30:00.000Z,INFY,EQ,1888.75,1864.0,1870.0,1876.15,1878.0,1862.1,3728589,7008612072.55,1903.0,1351.65
