rank,ticker,st_config,capital_used,total_pnl,pct_return,total_trades,winning_trades,win_pct,final_capital
170,NYKAA,ST73,10000,8692.16,86.92,7,4,57.1,18692.16
171,MANYAVAR,ST72,10000,8677.48,86.77,7,4,57.1,18677.48
172,SOLARINDS,ST73,10000,8617.54,86.18,7,4,57.1,18617.54
173,PNBHOUSING,ST73,10000,8516.96,85.17,6,5,83.3,18516.96
174,RATEGAIN,ST73,10000,8435.25,84.35,8,4,50.0,18435.25
175,ANTELOPUS,ST73,10000,8430.4,84.3,8,5,62.5,18430.4
176,GANESHHOU,ST73,10000,8429.89,84.3,7,4,57.1,18429.89
177,ABSLAMC,ST73,10000,8397.14,83.97,7,4,57.1,18397.14
178,TIPSMUSIC,ST73,10000,8395.04,83.95,6,4,66.7,18395.04
179,DEEPINDS,ST73,10000,8318.95,83.19,7,3,42.9,18318.95
180,BDL,ST72,10000,8298.92,82.99,19,8,42.1,18298.92
181,ASHAPURMIN,ST72,10000,8295.55,82.96,17,9,52.9,18295.55
182,PRESTIGE,ST72,10000,8264.88,82.65,16,8,50.0,18264.88
183,IMFA,ST73,10000,8228.8,82.29,8,4,50.0,18228.8
184,RPTECH,ST72,10000,8201.09,82.01,12,4,33.3,18201.09
185,PTCIL,ST72,10000,8198.45,81.98,13,7,53.8,18198.45
186,GOLDIAM,ST73,10000,8162.18,81.62,7,3,42.9,18162.18
187,PGEL,ST73,10000,8156.91,81.57,10,3,30.0,18156.91
188,CYIENTDLM,ST73,10000,8073.95,80.74,8,3,37.5,18073.95
189,TARC,ST72,10000,8007.88,80.08,14,6,42.9,18007.88
190,HERITGFOOD,ST72,10000,7986.29,79.86,15,7,46.7,17986.29
191,ZYDUSWELL,ST72,10000,7890.14,78.9,12,7,58.3,17890.14
192,NAZARA,ST73,10000,7874.82,78.75,5,3,60.0,17874.82
193,CPPLUS,ST72,10000,7848.39,78.48,6,1,16.7,17848.39
194,MEDANTA,ST72,10000,7802.1,78.02,15,7,46.7,17802.1
195,ACMESOLAR,ST73,10000,7769.85,77.7,4,2,50.0,17769.85
196,AXISCADES,ST72,10000,7720.4,77.2,19,9,47.4,17720.4
197,GMRP&UI,ST73,10000,7718.13,77.18,11,2,18.2,17718.13
198,UNIPARTS,ST73,10000,7703.6,77.04,7,3,42.9,17703.6
199,DPABHUSHAN,ST73,10000,7699.3,76.99,9,3,33.3,17699.3
200,MTARTECH,ST72,10000,7666.55,76.67,21,7,33.3,17666.55
201,FILATEX,ST73,10000,7643.42,76.43,9,5,55.6,17643.42
202,UTLSOLAR,ST73,10000,7641.36,76.41,2,2,100.0,17641.36
203,SENORES,ST73,10000,7529.45,75.29,4,2,50.0,17529.45
204,SUDEEPPHRM,ST72,10000,7436.31,74.36,4,2,50.0,17436.31
205,KALYANKJIL,ST72,10000,7436.49,74.36,17,7,41.2,17436.49
206,BHEL,ST73,10000,7364.23,73.64,11,5,45.5,17364.23
207,ETHOSLTD,ST72,10000,7302.57,73.03,15,7,46.7,17302.57
208,EPIGRAL,ST72,10000,7256.0,72.56,13,8,61.5,17256.0
209,PERSISTENT,ST72,10000,7224.51,72.25,18,9,50.0,17224.51
210,PFOCUS,ST73,10000,7220.11,72.2,9,6,66.7,17220.11
211,LLOYDSME,ST73,10000,7164.93,71.65,9,5,55.6,17164.93
212,ANGELONE,ST72,10000,7146.94,71.47,20,7,35.0,17146.94
213,GODREJIND,ST72,10000,7137.25,71.37,16,10,62.5,17137.25
214,INDUSTOWER,ST73,10000,7120.76,71.21,7,4,57.1,17120.76
215,ABCAPITAL,ST73,10000,7089.76,70.9,8,4,50.0,17089.76
216,TITAGARH,ST72,10000,7060.35,70.6,16,9,56.2,17060.35
217,BEL,ST72,10000,7009.81,70.1,20,12,60.0,17009.81
218,VINDHYATEL,ST72,10000,6994.98,69.95,15,6,40.0,16994.98
219,TCPLPACK,ST72,10000,6971.48,69.71,12,5,41.7,16971.48
220,NEULANDLAB,ST72,10000,6969.73,69.7,11,4,36.4,16969.73
221,BALRAMCHIN,ST73,10000,6931.95,69.32,7,3,42.9,16931.95
222,EIDPARRY,ST73,10000,6897.6,68.98,7,4,57.1,16897.6
223,WELENT,ST73,10000,6861.55,68.62,10,4,40.0,16861.55
224,SHRIRAMFIN,ST73,10000,6845.31,68.45,11,6,54.5,16845.31
225,ASKAUTOLTD,ST73,10000,6828.38,68.28,7,3,42.9,16828.38
226,AEQUS,ST73,10000,6776.49,67.76,1,1,100.0,16776.49
227,TORNTPHARM,ST73,10000,6765.03,67.65,7,5,71.4,16765.03
228,BLUEJET,ST73,10000,6748.6,67.49,7,3,42.9,16748.6
229,JSLL,ST72,10000,6739.35,67.39,18,8,44.4,16739.35
230,CARERATING,ST73,10000,6739.22,67.39,7,4,57.1,16739.22
231,VIJAYA,ST72,10000,6738.39,67.38,15,7,46.7,16738.39
232,MRPL,ST72,10000,6734.3,67.34,16,5,31.2,16734.3
233,BAJAJ-AUTO,ST72,10000,6719.16,67.19,17,10,58.8,16719.16
234,BOSCH-HCIL,ST73,10000,6710.42,67.1,7,4,57.1,16710.42
235,AEGISLOG,ST72,10000,6701.66,67.02,18,6,33.3,16701.66
236,INOXWIND,ST72,10000,6687.95,66.88,20,6,30.0,16687.95
237,BASF,ST73,10000,6682.66,66.83,6,3,50.0,16682.66
238,SANDUMA,ST73,10000,6664.3,66.64,9,4,44.4,16664.3
239,TI,ST73,10000,6657.28,66.57,9,5,55.6,16657.28
240,EBGNG,ST73,10000,6655.5,66.55,3,1,33.3,16655.5
241,SAILIFE,ST73,10000,6651.5,66.52,3,2,66.7,16651.5
242,VIYASH,ST72,10000,6584.46,65.84,17,7,41.2,16584.46
243,NRBBEARING,ST73,10000,6580.72,65.81,7,2,28.6,16580.72
244,INDIACEM,ST72,10000,6549.0,65.49,13,6,46.2,16549.0
245,SPECTRUM,ST72,10000,6504.85,65.05,19,8,42.1,16504.85
246,SHADOWFAX,ST72,10000,6461.2,64.61,2,1,50.0,16461.2
247,SPLPETRO,ST72,10000,6430.69,64.31,16,7,43.8,16430.69
248,SGFIN,ST73,10000,6414.75,64.15,2,1,50.0,16414.75
249,PCBL,ST72,10000,6405.81,64.06,18,10,55.6,16405.81
250,HEG,ST72,10000,6401.25,64.01,17,9,52.9,16401.25
251,HSCL,ST72,10000,6395.87,63.96,17,8,47.1,16395.87
252,LLOYDSENT,ST72,10000,6387.82,63.88,11,5,45.5,16387.82
253,QUESS,ST73,10000,6381.33,63.81,5,2,40.0,16381.33
254,ENDURANCE,ST72,10000,6334.83,63.35,12,6,50.0,16334.83
255,BPCL,ST73,10000,6292.43,62.92,9,5,55.6,16292.43
256,HCLTECH,ST73,10000,6269.81,62.7,7,5,71.4,16269.81
257,MIDHANI,ST72,10000,6230.16,62.3,14,6,42.9,16230.16
258,RVNL,ST72,10000,6220.18,62.2,18,8,44.4,16220.18
259,POLYCAB,ST73,10000,6178.03,61.78,9,5,55.6,16178.03
260,IOC,ST72,10000,6171.49,61.71,18,6,33.3,16171.49
261,KIRLOSIND,ST72,10000,6159.68,61.6,11,6,54.5,16159.68
262,FEDERALBNK,ST72,10000,6132.14,61.32,15,8,53.3,16132.14
263,KENNAMET,ST73,10000,6107.49,61.07,1,1,100.0,16107.49
264,VMART,ST72,10000,6087.9,60.88,13,6,46.2,16087.9
265,ABB,ST73,10000,6064.95,60.65,9,5,55.6,16064.95
266,NEWGEN,ST72,10000,6056.21,60.56,15,9,60.0,16056.21
267,SIEMENS,ST72,10000,6050.67,60.51,15,6,40.0,16050.67
268,NUVAMA,ST73,10000,5953.86,59.54,9,5,55.6,15953.86
269,ECLERX,ST72,10000,5902.4,59.02,16,7,43.8,15902.4
270,TVSMOTOR,ST73,10000,5887.48,58.87,7,3,42.9,15887.48
271,GRAPHITE,ST73,10000,5875.19,58.75,8,5,62.5,15875.19
272,URBANCO,ST72,10000,5862.79,58.63,3,2,66.7,15862.79
273,MOTILALOFS,ST73,10000,5830.51,58.31,10,7,70.0,15830.51
274,JUBLCPL,ST73,10000,5808.2,58.08,4,2,50.0,15808.2
275,LTF,ST73,10000,5781.25,57.81,8,5,62.5,15781.25
276,HONASA,ST73,10000,5763.69,57.64,6,3,50.0,15763.69
277,AYE,ST73,10000,5752.8,57.53,1,1,100.0,15752.8
278,AUBANK,ST73,10000,5712.88,57.13,9,6,66.7,15712.88
279,KTKBANK,ST73,10000,5686.13,56.86,8,5,62.5,15686.13
280,CESC,ST73,10000,5602.37,56.02,8,5,62.5,15602.37
281,TIMEX,ST72,10000,5600.6,56.01,2,2,100.0,15600.6
282,KWIL,ST72,10000,5557.46,55.57,3,3,100.0,15557.46
283,STYRENIX,ST73,10000,5507.86,55.08,7,3,42.9,15507.86
284,UNOMINDA,ST72,10000,5495.29,54.95,18,7,38.9,15495.29
285,SOBHA,ST72,10000,5481.0,54.81,15,7,46.7,15481.0
286,TMB,ST73,10000,5459.14,54.59,7,4,57.1,15459.14
287,LALPATHLAB,ST73,10000,5445.19,54.45,8,4,50.0,15445.19
288,STYL,ST73,10000,5357.06,53.57,1,1,100.0,15357.06
289,WHEELS,ST73,10000,5330.17,53.3,10,5,50.0,15330.17
290,PRABHA,ST72,10000,5325.48,53.25,5,2,40.0,15325.48
