rank,ticker,st_config,pct_return,total_pnl,total_trades,winning_trades,win_pct,capital_used,final_capital
83,OFSS,ST72,150.21,15020.82,16,9,56.2,10000,25020.82
84,HINDCOPPER,ST73,149.72,14972.26,9,3,33.3,10000,24972.26
85,GRSE,ST73,148.34,14833.54,9,3,33.3,10000,24833.54
86,CHOICEIN,ST73,147.72,14772.15,9,6,66.7,10000,24772.15
87,NATIONALUM,ST73,143.51,14351.23,10,7,70.0,10000,24351.23
88,VADILALIND,ST73,143.1,14310.07,9,3,33.3,10000,24310.07
89,CRAFTSMAN,ST72,142.61,14260.7,12,8,66.7,10000,24260.7
90,RAJTV,ST73,141.74,14173.62,5,2,40.0,10000,24173.62
91,HINDPETRO,ST72,141.22,14122.13,17,9,52.9,10000,24122.13
92,ASTERDM,ST72,138.07,13807.39,12,8,66.7,10000,23807.39
93,INOXGREEN,ST73,137.87,13786.7,9,5,55.6,10000,23786.7
94,AEROFLEX,ST73,136.57,13657.11,9,4,44.4,10000,23657.11
95,FORTIS,ST73,136.29,13628.96,6,4,66.7,10000,23628.96
96,HINDZINC,ST72,136.15,13614.57,19,9,47.4,10000,23614.57
97,ABDL,ST73,134.23,13422.96,5,3,60.0,10000,23422.96
98,VOLTAMP,ST73,133.52,13351.69,10,4,40.0,10000,23351.69
99,JSWHL,ST72,133.37,13337.15,14,6,42.9,10000,23337.15
100,CARTRADE,ST72,132.34,13233.55,18,8,44.4,10000,23233.55
101,RADICO,ST73,132.13,13212.98,7,5,71.4,10000,23212.98
102,GABRIEL,ST73,131.89,13188.65,7,4,57.1,10000,23188.65
103,TEMBO,ST73,130.32,13032.17,8,4,50.0,10000,23032.17
104,CAPLIPOINT,ST73,127.92,12792.01,6,3,50.0,10000,22792.01
105,TECHNOE,ST72,126.36,12635.58,14,7,50.0,10000,22635.58
106,KMEW,ST73,126.04,12603.95,3,3,100.0,10000,22603.95
107,INOXINDIA,ST73,125.82,12582.09,6,3,50.0,10000,22582.09
108,KSHINTL,ST72,125.71,12571.2,3,3,100.0,10000,22571.2
109,SANSERA,ST72,125.07,12507.16,16,10,62.5,10000,22507.16
110,MANINDS,ST72,125.03,12502.59,19,11,57.9,10000,22502.59
111,ANTELOPUS,ST73,124.63,12463.15,8,5,62.5,10000,22463.15
112,PPLPHARMA,ST72,123.56,12356.33,13,5,38.5,10000,22356.33
113,SOTL,ST73,122.55,12254.77,7,4,57.1,10000,22254.77
114,PREMEXPLN,ST73,121.7,12169.82,10,6,60.0,10000,22169.82
115,SYRMA,ST72,121.62,12161.85,18,8,44.4,10000,22161.85
116,HFCL,ST73,120.94,12094.44,9,3,33.3,10000,22094.44
117,MARKSANS,ST72,119.48,11947.81,16,8,50.0,10000,21947.81
118,FORCEMOT,ST73,118.12,11812.24,9,3,33.3,10000,21812.24
119,SMSPHARMA,ST73,117.96,11795.52,8,7,87.5,10000,21795.52
120,GLAXO,ST73,116.65,11664.84,7,5,71.4,10000,21664.84
121,TDPOWERSYS,ST72,116.3,11629.98,17,8,47.1,10000,21629.98
122,THYROCARE,ST73,116.05,11605.06,8,6,75.0,10000,21605.06
123,MAXESTATES,ST73,116.0,11599.5,7,4,57.1,10000,21599.5
124,RPOWER,ST73,115.63,11563.08,9,6,66.7,10000,21563.08
125,ASTRAMICRO,ST72,113.81,11381.26,17,9,52.9,10000,21381.26
126,KSL,ST72,113.78,11377.56,16,7,43.8,10000,21377.56
127,POLICYBZR,ST72,113.58,11358.05,13,8,61.5,10000,21358.05
128,ZENTEC,ST73,113.27,11326.89,9,5,55.6,10000,21326.89
129,HUDCO,ST73,110.43,11042.94,8,4,50.0,10000,21042.94
130,ARVIND,ST73,107.82,10781.85,6,4,66.7,10000,20781.85
131,MOTHERSON,ST73,107.39,10738.62,10,7,70.0,10000,20738.62
132,WHEELS,ST73,107.36,10735.77,10,5,50.0,10000,20735.77
133,ATLANTAELE,ST73,107.14,10714.0,2,2,100.0,10000,20714.0
134,DIVISLAB,ST73,106.99,10698.78,7,5,71.4,10000,20698.78
135,STEELCAS,ST73,106.79,10679.37,4,3,75.0,10000,20679.37
136,LAURUSLABS,ST72,106.54,10653.6,18,9,50.0,10000,20653.6
137,JUBLPHARMA,ST73,106.28,10627.7,7,5,71.4,10000,20627.7
138,THANGAMAYL,ST72,104.99,10498.54,17,7,41.2,10000,20498.54
139,MSTCLTD,ST72,104.11,10410.87,18,8,44.4,10000,20410.87
140,VSSL,ST73,103.7,10369.68,5,3,60.0,10000,20369.68
141,PRECWIRE,ST73,103.08,10307.51,9,6,66.7,10000,20307.51
142,TATAINVEST,ST72,103.01,10300.84,17,6,35.3,10000,20300.84
143,SHARDACROP,ST72,102.29,10228.87,15,8,53.3,10000,20228.87
144,AGIIL,ST73,102.28,10228.42,5,3,60.0,10000,20228.42
145,ADANIPOWER,ST73,100.83,10082.57,7,4,57.1,10000,20082.57
146,SWSOLAR,ST72,100.52,10051.62,13,6,46.2,10000,20051.62
147,IIFL,ST73,100.38,10037.93,6,4,66.7,10000,20037.93
148,CYIENTDLM,ST73,99.37,9936.65,8,3,37.5,10000,19936.65
149,KIMS,ST73,98.67,9866.64,5,4,80.0,10000,19866.64
150,GLAND,ST72,97.83,9783.17,10,4,40.0,10000,19783.17
151,GLENMARK,ST73,96.73,9673.35,10,4,40.0,10000,19673.35
152,RRKABEL,ST73,95.49,9549.5,7,5,71.4,10000,19549.5
153,NAVA,ST72,95.33,9532.54,14,6,42.9,10000,19532.54
154,HINDALCO,ST72,94.97,9496.62,16,11,68.8,10000,19496.62
155,SGMART,ST73,94.55,9455.1,2,1,50.0,10000,19455.1
156,ETERNAL,ST72,94.05,9404.54,17,9,52.9,10000,19404.54
157,SUZLON,ST73,93.98,9398.29,9,5,55.6,10000,19398.29
158,AXISCADES,ST72,93.61,9361.4,19,9,47.4,10000,19361.4
159,HAL,ST72,93.52,9352.45,19,8,42.1,10000,19352.45
160,ATHERENERG,ST73,93.26,9325.6,2,1,50.0,10000,19325.6
161,LTFOODS,ST72,92.96,9296.32,16,8,50.0,10000,19296.32
162,NYKAA,ST73,92.8,9280.16,7,4,57.1,10000,19280.16
163,IFBIND,ST72,92.78,9278.05,15,9,60.0,10000,19278.05
164,ELECTCAST,ST72,92.2,9219.67,15,7,46.7,10000,19219.67
165,COFORGE,ST73,91.74,9173.67,10,7,70.0,10000,19173.67
166,HMT,ST72,91.1,9109.78,16,8,50.0,10000,19109.78
167,HAPPYFORGE,ST73,90.89,9088.97,7,5,71.4,10000,19088.97
168,MBAPL,ST72,89.93,8992.98,13,6,46.2,10000,18992.98
169,CUMMINSIND,ST72,89.73,8972.85,14,6,42.9,10000,18972.85
170,JSLL,ST72,89.17,8916.57,17,8,47.1,10000,18916.57
171,PRIVISCL,ST72,88.74,8874.48,14,9,64.3,10000,18874.48
172,SPECTRUM,ST72,87.44,8744.05,19,9,47.4,10000,18744.05
173,UNICHEMLAB,ST73,86.88,8687.6,5,2,40.0,10000,18687.6
174,EBGNG,ST73,86.68,8668.35,3,2,66.7,10000,18668.35
175,ZYDUSWELL,ST72,86.33,8632.64,12,7,58.3,10000,18632.64
176,SOLARINDS,ST73,86.18,8617.54,7,4,57.1,10000,18617.54
177,GRANULES,ST73,85.84,8583.9,9,5,55.6,10000,18583.9
178,UTLSOLAR,ST73,85.33,8533.11,2,2,100.0,10000,18533.11
