rank,ticker,st_config,pct_return,total_pnl,total_trades,winning_trades,win_pct,capital_used,final_capital
1,DIACABS,ST72,4368.28,436827.79,18,7,38.9,10000,446827.79
2,SWANDEF,ST72,3702.01,370201.12,6,5,83.3,10000,380201.12
3,E2E,ST73,1707.05,170705.35,14,11,78.6,10000,180705.35
4,CUPID,ST72,1077.79,107778.73,14,9,64.3,10000,117778.73
5,V2RETAIL,ST73,769.92,76992.05,7,5,71.4,10000,86992.05
6,MARINE,ST73,684.23,68423.42,8,6,75.0,10000,78423.42
7,SKYGOLD,ST72,592.48,59248.13,21,11,52.4,10000,69248.13
8,STLTECH,ST73,576.93,57693.39,8,3,37.5,10000,67693.39
9,GVT&D,ST72,559.29,55928.64,16,13,81.2,10000,65928.64
10,SIGMAADV,ST73,491.54,49153.67,15,9,60.0,10000,59153.67
11,TFCILTD,ST73,474.85,47484.83,9,6,66.7,10000,57484.83
12,WEBELSOLAR,ST72,471.0,47100.48,18,8,44.4,10000,57100.48
13,POCL,ST73,396.89,39689.48,8,5,62.5,10000,49689.48
14,IFCI,ST72,386.83,38682.84,17,8,47.1,10000,48682.84
15,CEMPRO,ST72,373.92,37392.44,14,8,57.1,10000,47392.44
16,QPOWER,ST72,371.22,37121.72,7,6,85.7,10000,47121.72
17,UNIVCABLES,ST73,368.13,36813.13,6,4,66.7,10000,46813.13
18,SHILPAMED,ST73,352.98,35298.42,7,4,57.1,10000,45298.42
19,GRWRHITECH,ST72,332.97,33297.45,13,8,61.5,10000,43297.45
20,SMLMAH,ST73,331.73,33173.1,9,5,55.6,10000,43173.1
21,BSE,ST72,318.14,31814.12,19,7,36.8,10000,41814.12
22,RPEL,ST73,310.19,31019.22,3,3,100.0,10000,41019.22
23,GODFRYPHLP,ST73,308.78,30878.02,6,4,66.7,10000,40878.02
24,IBULLSLTD,ST72,308.07,30806.52,20,10,50.0,10000,40806.52
25,BBOX,ST72,304.18,30418.39,15,7,46.7,10000,40418.39
26,NPST,ST73,296.73,29672.7,10,7,70.0,10000,39672.7
27,PCJEWELLER,ST72,283.47,28346.98,21,7,33.3,10000,38346.98
28,ORCHPHARMA,ST72,274.48,27447.95,12,5,41.7,10000,37447.95
29,POWERINDIA,ST73,266.06,26606.37,9,4,44.4,10000,36606.37
30,HIRECT,ST73,265.02,26501.6,7,5,71.4,10000,36501.6
31,PAISALO,ST72,262.57,26256.9,14,7,50.0,10000,36256.9
32,63MOONS,ST72,259.07,25907.07,20,9,45.0,10000,35907.07
33,WELCORP,ST73,248.67,24866.84,9,4,44.4,10000,34866.84
34,TARIL,ST73,237.69,23768.69,9,2,22.2,10000,33768.69
35,INDSWFTLAB,ST72,235.91,23591.04,16,9,56.2,10000,33591.04
36,PAYTM,ST73,227.39,22738.75,8,5,62.5,10000,32738.75
37,WABAG,ST73,226.41,22641.24,8,4,50.0,10000,32641.24
38,KIRLPNU,ST73,222.35,22234.69,6,4,66.7,10000,32234.69
39,GOKULAGRO,ST73,221.1,22109.77,7,4,57.1,10000,32109.77
40,IIFLCAPS,ST72,220.6,22059.73,15,8,53.3,10000,32059.73
41,ANANDRATHI,ST72,214.99,21499.41,15,7,46.7,10000,31499.41
42,GVPIL,ST73,213.05,21304.78,9,6,66.7,10000,31304.78
43,NACLIND,ST73,209.89,20988.63,7,3,42.9,10000,30988.63
44,LUMAXTECH,ST73,206.13,20612.84,8,5,62.5,10000,30612.84
45,SUVEN,ST73,203.6,20360.39,9,4,44.4,10000,30360.39
46,MANORAMA,ST73,203.15,20314.76,8,4,50.0,10000,30314.76
47,NETWEB,ST73,202.92,20291.79,10,6,60.0,10000,30291.79
48,MOREPENLAB,ST72,196.62,19662.02,16,8,50.0,10000,29662.02
49,COCHINSHIP,ST73,195.8,19579.53,10,4,40.0,10000,29579.53
50,ROSSTECH,ST72,194.9,19490.12,8,6,75.0,10000,29490.12
51,RAMRAT,ST73,193.49,19349.29,8,5,62.5,10000,29349.29
52,KIRLOSENG,ST72,192.56,19256.36,17,9,52.9,10000,29256.36
53,PGIL,ST73,190.92,19091.71,7,5,71.4,10000,29091.71
54,OPTIEMUS,ST73,190.38,19037.85,6,3,50.0,10000,29037.85
55,PARAS,ST73,189.27,18926.89,9,4,44.4,10000,28926.89
56,SHAILY,ST72,188.25,18824.55,16,9,56.2,10000,28824.55
57,INDOTECH,ST72,183.85,18384.9,23,12,52.2,10000,28384.9
58,SETL,ST72,181.69,18168.86,7,3,42.9,10000,28168.86
59,SHAKTIPUMP,ST72,177.99,17798.91,19,8,42.1,10000,27798.91
60,SJS,ST73,175.24,17524.18,6,5,83.3,10000,27524.18
61,GALLANTT,ST73,174.35,17435.31,11,6,54.5,10000,27435.31
62,DEEPAKFERT,ST73,171.21,17120.68,7,4,57.1,10000,27120.68
63,APARINDS,ST72,170.37,17037.16,17,9,52.9,10000,27037.16
64,AVALON,ST73,169.89,16989.5,8,4,50.0,10000,26989.5
65,SUDARSCHEM,ST73,167.14,16713.75,6,4,66.7,10000,26713.75
66,TBZ,ST73,164.44,16443.67,10,3,30.0,10000,26443.67
67,BLISSGVS,ST72,161.93,16193.37,17,9,52.9,10000,26193.37
68,TSFINV,ST73,161.1,16109.91,8,6,75.0,10000,26109.91
69,SHREEJISPG,ST72,158.59,15859.16,4,4,100.0,10000,25859.16
70,REFEX,ST73,158.36,15835.79,9,4,44.4,10000,25835.79
71,SCHNEIDER,ST73,157.77,15776.7,9,4,44.4,10000,25776.7
72,YATHARTH,ST73,157.53,15753.27,7,5,71.4,10000,25753.27
73,KRISHANA,ST73,155.57,15556.6,9,5,55.6,10000,25556.6
74,ZOTA,ST73,155.28,15527.93,7,5,71.4,10000,25527.93
75,RUBICON,ST72,154.46,15445.81,1,1,100.0,10000,25445.81
76,PARADEEP,ST73,153.68,15368.11,6,4,66.7,10000,25368.11
77,OFSS,ST72,152.11,15210.82,16,9,56.2,10000,25210.82
78,BALUFORGE,ST72,150.8,15079.98,14,6,42.9,10000,25079.98
79,MCX,ST73,148.72,14871.69,9,6,66.7,10000,24871.69
80,GRSE,ST73,148.34,14833.54,9,3,33.3,10000,24833.54
81,CHOICEIN,ST73,147.72,14772.15,9,6,66.7,10000,24772.15
82,INNOVACAP,ST73,146.19,14618.51,4,2,50.0,10000,24618.51
83,DEEDEV,ST72,145.31,14531.06,10,5,50.0,10000,24531.06
84,WOCKPHARMA,ST72,144.92,14492.04,22,10,45.5,10000,24492.04
85,NATIONALUM,ST73,143.51,14351.23,10,7,70.0,10000,24351.23
86,IOLCP,ST73,143.46,14346.47,9,2,22.2,10000,24346.47
87,MANINDS,ST72,143.25,14324.79,18,10,55.6,10000,24324.79
88,HINDCOPPER,ST73,141.53,14153.46,9,3,33.3,10000,24153.46
89,HINDPETRO,ST72,141.22,14122.13,17,9,52.9,10000,24122.13
90,CRAFTSMAN,ST72,139.87,13986.7,12,8,66.7,10000,23986.7
91,ASTERDM,ST72,138.07,13807.39,12,8,66.7,10000,23807.39
92,INOXGREEN,ST73,137.87,13786.7,9,5,55.6,10000,23786.7
