rank,ticker,st_config,pct_return,total_pnl,total_trades,winning_trades,win_pct,capital_used,final_capital
1,DIACABS,ST72,4341.05,434105.29,19,7,36.8,10000,444105.29
2,SWANDEF,ST72,3820.72,382072.3,6,5,83.3,10000,392072.3
3,E2E,ST73,1699.06,169906.17,14,11,78.6,10000,179906.17
4,CUPID,ST72,1077.79,107778.73,14,9,64.3,10000,117778.73
5,V2RETAIL,ST73,769.92,76992.05,7,5,71.4,10000,86992.05
6,MARINE,ST73,609.53,60952.77,8,6,75.0,10000,70952.77
7,SKYGOLD,ST72,556.21,55621.03,21,11,52.4,10000,65621.03
8,STLTECH,ST73,548.53,54853.34,8,3,37.5,10000,64853.34
9,SIGMAADV,ST73,545.74,54574.17,15,9,60.0,10000,64574.17
10,GVT&D,ST72,476.36,47635.67,15,11,73.3,10000,57635.67
11,WEBELSOLAR,ST72,471.5,47149.79,18,8,44.4,10000,57149.79
12,TFCILTD,ST73,460.61,46061.27,9,6,66.7,10000,56061.27
13,POCL,ST73,396.89,39689.48,8,5,62.5,10000,49689.48
14,SHILPAMED,ST73,391.96,39196.02,7,4,57.1,10000,49196.02
15,CEMPRO,ST72,373.92,37392.44,14,8,57.1,10000,47392.44
16,GRWRHITECH,ST72,344.29,34428.77,13,8,61.5,10000,44428.77
17,QPOWER,ST72,338.26,33825.72,8,6,75.0,10000,43825.72
18,BBOX,ST72,334.59,33458.59,15,8,53.3,10000,43458.59
19,IBULLSLTD,ST72,330.74,33073.72,21,11,52.4,10000,43073.72
20,IFCI,ST72,326.43,32642.76,16,7,43.8,10000,42642.76
21,UNIVCABLES,ST73,326.25,32625.13,6,4,66.7,10000,42625.13
22,SMLMAH,ST73,314.3,31430.11,9,5,55.6,10000,41430.11
23,NPST,ST72,308.79,30879.11,18,11,61.1,10000,40879.11
24,GODFRYPHLP,ST73,308.78,30878.03,6,4,66.7,10000,40878.03
25,BSE,ST72,296.57,29656.52,20,7,35.0,10000,39656.52
26,ORCHPHARMA,ST72,274.48,27447.95,12,5,41.7,10000,37447.95
27,POWERINDIA,ST73,266.06,26606.36,10,4,40.0,10000,36606.36
28,HIRECT,ST73,263.25,26324.7,7,5,71.4,10000,36324.7
29,PCJEWELLER,ST72,256.04,25603.97,21,7,33.3,10000,35603.97
30,63MOONS,ST72,249.8,24979.52,20,9,45.0,10000,34979.52
31,WELCORP,ST73,246.52,24652.35,9,4,44.4,10000,34652.35
32,RPEL,ST73,244.59,24458.82,3,3,100.0,10000,34458.82
33,ROSSTECH,ST72,235.17,23517.03,8,6,75.0,10000,33517.03
34,PAYTM,ST73,235.02,23501.95,8,5,62.5,10000,33501.95
35,LUMAXTECH,ST73,230.14,23014.35,8,5,62.5,10000,33014.35
36,IIFLCAPS,ST72,228.01,22800.74,15,9,60.0,10000,32800.74
37,INDSWFTLAB,ST72,225.38,22538.34,16,9,56.2,10000,32538.34
38,TARIL,ST73,224.92,22492.48,9,2,22.2,10000,32492.48
39,KIRLPNU,ST73,222.35,22234.69,6,4,66.7,10000,32234.69
40,ANANDRATHI,ST72,218.76,21876.0,15,7,46.7,10000,31876.0
41,GVPIL,ST73,213.05,21304.78,9,6,66.7,10000,31304.78
42,GOKULAGRO,ST73,210.23,21022.66,7,4,57.1,10000,31022.66
