ticker,st73_signal,st73_value,st72_signal,st72_value,close_price,DMA_200
RELIANCE,0,1440.5,1,1356.8,1420.1,1322.7
HDFCBANK,0,1950.9,0,2027.4,1991.1,1822.57
BHARTIARTL,0,1956.4,0,1923.0,1909.7,1733.29
TCS,0,3129.2,0,3092.2,3016.2,3655.18
ICICIBANK,0,1420.2,0,1453.8,1436.3,1336.09
SBIN,0,798.7,0,809.7,830.4,780.51
HINDUNILVR,0,2410.7,1,2469.4,2604.8,2352.61
INFY,0,1500.5,0,1476.4,1440.0,1673.41
LICI,0,932.4,0,916.7,894.3,857.65
BAJFINANCE,0,914.8,0,853.5,902.3,828.47
ITC,0,419.1,0,416.7,409.1,424.91
LT,0,3524.7,0,3582.7,3613.0,3488.76
MARUTI,0,13084.2,0,13431.0,14250.0,11911.53
KOTAKBANK,0,2093.2,0,2053.4,2029.9,1978.74
M&M,0,3136.2,0,3218.7,3354.0,2962.03
HCLTECH,0,1530.0,0,1506.2,1476.1,1659.75
SUNPHARMA,0,1692.7,0,1658.9,1626.6,1721.69
ULTRACEMCO,0,12036.8,0,12276.0,12863.0,11456.17
AXISBANK,0,1114.5,0,1098.8,1083.2,1110.56
NTPC,0,345.4,0,340.6,335.05,341.0
TITAN,0,3385.8,0,3444.2,3568.1,3354.03
BAJAJFINSV,0,2011.8,0,1899.5,1972.2,1860.6
DMART,0,4280.0,0,4390.5,4653.2,3929.94
ONGC,0,243.1,0,239.7,237.94,243.33
HAL,0,4742.8,0,4631.0,4452.6,4309.73
ADANIPORTS,0,1407.1,0,1374.7,1369.4,1260.38
ETERNAL,0,292.5,0,301.2,321.45,nan
BEL,0,402.7,0,395.3,380.05,323.27
ADANIENT,0,2416.9,1,2214.6,2388.4,2439.7
POWERGRID,0,297.2,0,292.7,288.0,294.49
JSWSTEEL,0,1012.9,0,1035.0,1073.4,987.92
WIPRO,0,255.8,0,250.8,246.96,267.39
TATAMOTORS,1,634.6,0,652.5,700.25,705.18
ASIANPAINT,0,2436.7,0,2483.8,2579.4,2348.58
BAJAJ-AUTO,0,8135.7,0,8330.8,8795.5,8342.01
COALINDIA,0,371.0,0,376.1,385.35,383.74
INDIGO,0,5708.2,0,5845.7,6055.5,4944.55
ADANIPOWER,0,563.4,0,571.9,606.0,540.46
NESTLEIND,1,1057.2,0,1087.8,1161.4,1134.1
JIOFIN,0,310.6,0,318.3,331.3,282.09
HYUNDAI,0,2207.2,0,2309.3,2581.3,1842.2
TATASTEEL,0,165.6,0,162.2,159.23,144.94
IOC,0,147.8,0,144.7,142.01,133.86
TRENT,0,5124.0,0,5270.0,5496.0,5779.48
DLF,0,812.5,0,793.6,776.1,758.25
GRASIM,0,2861.6,0,2709.2,2828.3,2596.19
SBILIFE,0,1770.8,0,1807.5,1854.1,1611.33
HINDZINC,0,443.4,0,435.2,428.65,446.27
VEDL,0,453.3,1,425.5,450.2,436.65
HDFCLIFE,0,753.6,0,769.7,793.75,693.57
VBL,0,478.8,0,493.9,505.4,532.2
IRFC,0,133.6,0,130.8,126.8,135.89
EICHERMOT,0,5601.8,0,5715.6,5938.5,5180.76
DIVISLAB,0,6501.6,0,6318.5,6079.5,6078.33
ADANIGREEN,0,1002.6,0,976.2,973.4,1026.53
PIDILITIND,0,2942.7,0,2993.1,3095.2,2935.43
HINDALCO,0,659.7,0,676.4,706.7,642.12
TVSMOTOR,0,2983.0,0,3066.6,3251.9,2586.93
BAJAJHLDNG,0,13227.0,0,13564.0,13785.0,12201.88
