ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
NTPC,372.95,350.4,356.6,332.13,367.06,20260223
BAJAJFINSV,2058.5,1959.3,1990.5,2022.95,2038.74,20260223
BEL,441.15,417.1,428.0,401.8,440.06,20260223
HAL,4170.0,4530.4,4388.1,4589.74,4158.98,20260223
BAJAJ-AUTO,9807.0,9337.0,9526.9,8838.55,9787.35,20260223
COALINDIA,423.55,440.2,429.3,379.73,417.72,20260223
ASIANPAINT,2428.1,2545.2,2490.5,2514.99,2407.6,20260223
HINDALCO,935.7,983.5,952.3,770.32,931.07,20260223
HYUNDAI,2293.4,2299.7,2117.9,2240.83,2196.11,20260223
PFC,410.1,380.7,392.7,386.31,408.8,20260223
ABB,5987.0,5417.1,5569.1,5400.06,5839.2,20260223
GODREJCP,1205.9,1250.7,1158.5,1191.38,1204.33,20260223
ASHOKLEY,208.85,190.6,196.5,145.07,207.18,20260223
SIEMENS,3206.2,2983.1,3084.5,3151.69,3154.03,20260223
SHREECEM,26510.0,27752.5,27169.2,28765.03,26499.0,20260223
GVT&D,3648.6,3239.2,3389.1,2765.32,3639.3,20260223
HAVELLS,1412.9,1342.2,1372.7,1483.95,1403.22,20260223
JSWENERGY,493.95,498.7,463.9,507.04,483.8,20260223
LENSKART,489.4,440.9,466.1,nan,485.81,20260223
IDFCFIRSTB,83.51,86.5,80.9,75.74,83.21,20260223
RVNL,312.1,333.9,325.7,347.85,312.09,20260223
MCX,2395.9,2667.7,2532.5,1810.2,2378.22,20260223
SCHAEFFLER,3888.9,3550.6,3690.1,3968.72,3853.67,20260223
BDL,1310.4,1390.2,1341.2,1586.65,1280.08,20260223
FLUOROCHEM,3425.7,3117.2,3253.5,3552.85,3419.14,20260223
NAVINFLUOR,6526.0,5801.9,6046.0,5232.16,6404.95,20260223
SONACOMS,532.1,492.0,506.5,476.85,530.72,20260223
DELHIVERY,430.95,399.0,415.9,420.49,429.33,20260223
KPRMILL,933.5,833.7,885.8,1042.23,922.94,20260223
KARURVYSYA,322.6,295.1,305.0,233.85,321.53,20260223
SJVN,75.3,69.7,72.7,86.93,75.11,20260223
GRSE,2477.3,2265.1,2394.6,2607.95,2474.11,20260223
CESC,155.43,142.7,146.7,163.47,154.08,20260223
KPIL,1135.6,1187.5,1151.4,1186.5,1117.99,20260223
RRKABEL,1442.8,1486.0,1358.1,1346.42,1426.93,20260223
NAVA,567.3,587.0,532.6,579.16,563.72,20260223
SKFINDUS,2486.1,2725.9,2631.2,nan,2456.21,20260223
EDELWEISS,123.04,108.7,114.5,108.3,123.02,20260223
J&KBANK,104.0,98.4,100.4,103.76,103.89,20260223
CUPID,425.35,466.8,448.4,247.75,423.86,20260223
IEX,125.75,134.5,130.4,152.29,125.56,20260223
HFCL,71.66,64.2,67.0,75.06,71.46,20260223
RAILTEL,334.0,357.2,322.7,368.51,333.51,20260223
GRWRHITECH,4290.0,3766.7,3941.1,3554.75,4254.13,20260223
INTELLECT,710.25,785.7,749.9,1016.12,709.68,20260223
ARVIND,375.0,329.0,344.3,328.84,372.03,20260223
RHIM,462.9,410.5,430.8,465.48,462.8,20260223
SANOFI,4063.3,4196.7,4134.6,4966.06,4034.52,20260223
STARCEMENT,218.89,223.6,207.1,235.23,216.77,20260223
ASKAUTOLTD,441.0,468.7,429.5,481.18,440.05,20260223
ASTRAMICRO,907.1,867.8,964.8,1010.1,906.95,20260223
SKFINDIA,1718.7,1813.9,1655.8,3439.13,1717.34,20260223
STAR,878.0,910.3,826.9,860.69,871.45,20260223
JAYNECOIND,79.99,70.7,74.4,62.88,79.59,20260223
KIRLPNU,1145.9,1052.2,1093.8,1202.8,1143.12,20260223
DBL,448.0,430.4,463.6,480.81,446.04,20260223
PGIL,1581.0,1824.4,1739.3,1448.56,1579.08,20260223
BECTORFOOD,219.11,233.5,230.0,264.42,218.53,20260223
MASFIN,339.0,307.2,317.8,308.36,335.75,20260223
FIEMIND,2337.0,2229.2,2449.3,2047.5,2336.1,20260223
