ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
LT,3934.7,3982.0,3726.0,3714.17,3822.31,20260129
HDFCLIFE,730.2,759.6,745.3,757.57,728.5,20260129
DLF,633.65,662.2,641.6,746.07,624.38,20260129
TATAPOWER,363.5,369.1,344.5,388.65,356.39,20260129
HDFCAMC,2520.0,2624.8,2559.1,2612.75,2509.6,20260129
NAVINFLUOR,6057.0,5595.6,5788.1,5072.6,5977.5,20260129
GLAND,1805.4,1621.0,1679.5,1771.17,1707.7,20260129
METROBRAND,1052.6,1158.4,1114.6,1160.75,1048.02,20260129
LICHSGFIN,523.85,547.6,534.4,570.31,520.89,20260129
IGL,178.71,186.5,182.2,202.57,177.73,20260129
AEGISVOPAK,212.49,228.5,197.5,nan,211.47,20260129
ECLERX,4681.3,4705.5,4144.9,3956.95,4442.36,20260129
PPLPHARMA,161.0,166.8,161.9,194.59,158.69,20260129
HBLENGINE,751.95,826.7,786.7,742.16,746.5,20260129
PFOCUS,227.09,253.9,240.7,161.7,223.41,20260129
NIVABUPA,78.0,74.2,75.8,80.7,77.61,20260129
JAINREC,398.8,368.9,409.4,nan,393.28,20260129
CANFINHOME,911.5,879.1,943.3,805.03,910.88,20260129
SANDUMA,222.85,242.6,231.3,182.25,219.1,20260129
TSFINV,410.7,449.1,431.2,nan,408.57,20260129
INDIASHLTR,777.1,807.8,788.7,873.44,768.17,20260129
