ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
BAJFINANCE,1028.6,1074.9,1053.4,925.4,1026.85,20251121
BAJAJFINSV,2095.6,2169.7,2125.1,1983.2,2064.29,20251121
DMART,4085.0,4191.9,4134.0,4159.97,4042.13,20251121
INDIGO,5785.5,5564.5,5676.2,5428.38,5772.05,20251121
JIOFIN,308.35,297.6,302.5,283.16,307.2,20251121
HINDALCO,799.8,844.3,824.6,687.53,797.44,20251121
TRENT,4388.9,4609.6,4526.4,5219.74,4384.66,20251121
CUMMINSIND,4375.7,4127.7,4209.7,3419.54,4337.06,20251121
TATACONSUM,1173.9,1113.0,1134.8,1086.02,1160.97,20251121
RECLTD,361.4,356.0,370.6,384.79,361.0,20251121
DABUR,525.05,498.0,507.5,497.76,521.12,20251121
SBICARD,874.1,919.9,900.2,877.42,872.73,20251121
TORNTPOWER,1313.9,1248.0,1258.5,1362.79,1305.54,20251121
PATANJALI,584.25,611.3,597.9,592.21,584.21,20251121
GLENMARK,1878.0,1933.1,1793.9,1713.83,1851.32,20251121
KALYANKJIL,504.1,524.5,513.2,517.3,502.54,20251121
RADICO,3368.0,3078.4,3193.1,2656.57,3276.95,20251121
PGHH,13029.0,13606.9,13386.9,13580.63,12997.6,20251121
ACC,1851.4,1908.3,1819.0,1884.75,1844.25,20251121
MEDANTA,1213.1,1292.7,1249.8,1255.6,1196.3,20251121
METROBRAND,1141.6,1188.9,1159.6,1158.89,1113.72,20251121
EMAMILTD,519.2,546.3,535.7,570.34,518.57,20251121
ECLERX,4595.7,4841.0,4667.7,3549.73,4435.76,20251121
ABSLAMC,744.9,790.5,772.7,741.58,744.57,20251121
CHALET,899.9,937.9,916.5,884.94,892.2,20251121
NETWEB,3439.6,3809.9,3633.8,2258.62,3410.67,20251121
ARE&M,968.6,1001.9,986.7,988.65,962.97,20251121
GSPL,300.8,294.2,310.3,308.85,300.57,20251121
LMW,15620.0,14912.9,15227.9,15608.55,15545.9,20251121
ACUTAAS,1732.4,1621.4,1820.3,nan,1726.09,20251121
NIVABUPA,76.9,79.7,74.7,80.6,76.55,20251121
IEX,143.13,144.0,134.1,166.11,138.78,20251121
TI,503.65,470.2,528.1,379.95,497.54,20251121
MGL,1230.1,1284.1,1261.4,1326.02,1230.06,20251121
SANOFICONR,4745.8,4962.6,4616.6,4930.74,4699.24,20251121
VARROC,668.85,591.3,609.4,533.53,647.45,20251121
METROPOLIS,1959.5,2035.3,2030.3,1836.17,1957.06,20251121
PGHL,5906.0,6221.9,6100.0,5712.29,5897.25,20251121
MARKSANS,193.07,174.9,181.7,214.33,191.13,20251121
