ticker,close_price,DMA_200,DMA_10,datee,st73_value,st72_value
AWL,189.44,211.52,188.95,20260801,195.3,183.2
SCHNEIDER,1355.3,982.51,1335.49,20260801,1444.9,1387.9
POLYMED,1702.0,1608.17,1676.16,20260801,1560.5,1619.2
HDFCAMC,2615.8,2594.7,2557.4,20260801,2719.4,2657.7
RVNL,225.48,291.13,224.24,20260801,236.2,231.6
NLCINDIA,297.9,279.4,294.68,20260801,312.8,304.7
BSE,3646.2,3172.81,3578.53,20260801,3779.7,3689.6
POLYCAB,9106.5,8112.85,8990.25,20260801,9592.7,9381.8
NTPC,347.25,356.56,347.23,20260801,359.7,353.8
