ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
TCS,3162.5,3272.7,3231.6,3144.39,3157.05,20260124
LGEINDIA,1399.9,1443.6,1414.7,nan,1383.9,20260124
GVT&D,2712.7,2898.1,2786.0,2585.67,2683.19,20260124
GODIGIT,331.6,351.9,342.2,341.66,328.64,20260124
TATATECH,657.55,626.6,642.3,688.64,652.52,20260124
KARURVYSYA,265.5,251.8,271.1,221.77,263.93,20260124
BANDHANBNK,149.33,135.1,139.6,162.25,143.44,20260124
EMAMILTD,504.45,520.7,509.8,562.4,502.39,20260124
LMW,14195.0,15160.8,14706.3,15532.8,14177.7,20260124
CHENNPETRO,842.2,876.8,896.1,759.98,839.07,20260124
HOMEFIRST,1112.8,1115.8,1016.7,1218.96,1071.21,20260124
ALIVUS,883.5,934.5,907.9,968.65,875.67,20260124
