ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
NESTLEIND,1308.6,1252.3,1246.5,1213.25,1299.41,20260211
VBL,456.5,491.4,473.8,477.81,455.9,20260211
BRITANNIA,5873.5,6088.0,5963.0,5771.64,5847.95,20260211
NTPCGREEN,89.47,94.0,91.3,100.62,88.27,20260211
VMM,126.8,131.5,128.4,135.68,122.56,20260211
TIINDIA,2438.6,2221.4,2585.1,2891.69,2387.65,20260211
PIRAMALFIN,1754.6,1653.0,1801.8,nan,1729.22,20260211
NH,1794.0,1860.1,1809.2,1842.34,1753.91,20260211
TATAELXSI,5381.0,5746.6,5576.9,5683.3,5372.3,20260211
GODIGIT,321.35,339.5,330.1,343.07,320.45,20260211
HSCL,460.7,490.8,476.7,467.08,457.86,20260211
IIFL,525.6,594.3,559.2,494.05,520.05,20260211
URBANCO,127.12,133.5,129.6,nan,123.71,20260211
KFINTECH,1022.4,1076.7,1041.3,1114.34,1007.85,20260211
IRCON,159.67,169.8,164.5,173.76,158.01,20260211
GRANULES,581.0,605.6,585.5,527.51,571.04,20260211
ONESOURCE,1193.2,1425.3,1334.6,1781.59,1166.68,20260211
JWL,312.1,287.8,296.7,337.54,311.98,20260211
ZYDUSWELL,416.7,444.1,426.3,425.4,416.3,20260211
HOMEFIRST,1178.4,1038.9,1099.6,1220.17,1176.43,20260211
RAINBOW,1206.8,1232.7,1093.1,1392.51,1150.8,20260211
CEMPRO,658.0,588.9,622.5,nan,652.26,20260211
RAILTEL,346.85,362.8,322.7,367.3,338.32,20260211
HEG,560.7,601.6,573.9,520.96,546.66,20260211
NAZARA,278.4,255.3,290.5,289.35,278.37,20260211
EUREKAFORB,530.15,569.9,545.5,576.54,526.57,20260211
SANOFICONR,4277.7,3879.2,4030.0,4854.18,4242.0,20260211
SANOFI,4092.7,4196.7,4134.6,5051.36,4035.97,20260211
JLHL,1278.1,1397.9,1342.5,1445.28,1268.28,20260211
