ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
CHOLAFIN,1697.8,1759.4,1706.7,1581.06,1686.59,20251225
ADANIENSOL,996.55,945.4,968.1,884.0,996.28,20251225
SHREECEM,26145.0,26968.0,26491.1,29258.68,26006.5,20251225
MEESHO,197.05,148.0,174.0,nan,194.6,20251225
NTPCGREEN,93.27,93.6,89.2,101.99,90.78,20251225
GODIGIT,347.85,337.8,356.0,337.49,344.56,20251225
GILLETTE,8288.5,8489.6,8328.3,9248.18,8084.0,20251225
RAMCOCEM,1060.4,994.6,1017.3,1019.73,1053.29,20251225
TIMKEN,3067.2,2936.5,3003.5,2992.14,3059.18,20251225
AADHARHFC,486.9,502.5,477.2,479.18,486.61,20251225
URBANCO,126.95,138.3,133.2,nan,124.94,20251225
EMMVEE,188.42,207.1,196.4,nan,186.68,20251225
SKFINDUS,2540.4,2189.8,2293.0,nan,2486.85,20251225
SPLPETRO,648.25,681.3,614.6,723.19,645.04,20251225
AAVAS,1511.8,1579.3,1536.6,1760.12,1500.23,20251225
SAFARI,2270.4,2362.8,2310.5,2157.17,2246.56,20251225
SCI,217.99,229.9,222.3,205.29,216.23,20251225
RELAXO,405.35,426.5,389.4,437.53,403.43,20251225
TTML,50.97,44.6,46.9,59.19,50.07,20251225
BBOX,532.8,555.1,538.1,482.48,515.18,20251225
SKFINDIA,1790.1,1883.2,1839.6,3849.82,1785.32,20251225
