ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
MUTHOOTFIN,3471.9,3760.6,3638.8,3135.64,3455.68,20260303
DRREDDY,1294.4,1236.1,1261.5,1259.2,1294.19,20260303
HINDCOPPER,576.0,645.4,617.8,355.14,569.04,20260303
PIRAMALFIN,1801.0,1653.0,1801.8,nan,1766.14,20260303
PTCIL,18009.0,16930.9,17374.3,16202.68,17972.7,20260303
PFOCUS,275.35,229.4,246.4,179.8,269.24,20260303
HATSUN,914.05,955.6,889.5,946.71,900.02,20260303
BASF,3589.4,3758.1,3665.1,4434.62,3564.4,20260303
POLYMED,1314.0,1411.3,1359.0,1918.2,1284.79,20260303
RKFORGE,556.05,510.7,531.0,569.35,553.17,20260303
IIFLCAPS,315.95,332.5,317.6,319.39,309.75,20260303
STLTECH,172.45,139.9,149.4,111.87,163.36,20260303
