ticker,close_price,DMA_200,DMA_10,datee,st73_value,st72_value
SAMMAANCAP,145.13,153.09,144.5,20260923,154.1,149.9
RRKABEL,2497.1,1912.26,2423.44,20260923,2653.2,2568.5
BANKBARODA,235.86,265.94,235.27,20260923,243.9,240.5
CANBK,125.14,134.03,123.76,20260923,128.8,126.8
KEI,4663.5,4827.49,4584.65,20260923,4936.7,4795.2
AJANTPHARM,3533.7,3061.07,3526.53,20260923,3733.6,3656.4
NAM-INDIA,1173.6,1019.36,1160.04,20260923,1205.4,1175.1
SAIL,181.07,167.63,177.3,20260923,188.8,183.4
MAHABANK,83.93,73.88,82.54,20260923,79.0,85.2
BAJFINANCE,1036.3,973.42,1024.96,20260923,1066.8,1048.8
SHRIRAMFIN,1011.9,1000.87,1008.87,20260923,1061.0,1034.5
SOLARINDS,20265.0,16121.94,20189.0,20260923,21208.0,20411.2
IRFC,80.83,99.61,80.32,20260923,83.1,81.7
INDUSTOWER,382.7,401.89,379.39,20260923,395.0,371.3
LTF,309.8,292.36,305.94,20260923,320.2,294.2
