ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
ICICIBANK,1383.6,1420.4,1395.4,1400.88,1373.62,20260130
LT,3932.9,3982.0,3730.9,3714.16,3822.13,20260130
ADANIPORTS,1417.8,1487.5,1440.1,1407.93,1388.73,20260130
ETERNAL,275.35,298.5,284.3,286.51,275.15,20260130
DLF,638.55,662.2,641.6,746.1,624.87,20260130
TMPV,351.8,366.0,357.3,nan,344.9,20260130
TATAPOWER,366.45,369.1,345.2,388.67,356.68,20260130
HEROMOTOCO,5580.0,5806.5,5658.2,4989.37,5555.45,20260130
ADANIENSOL,914.1,967.3,923.0,900.95,890.72,20260130
HDFCAMC,2544.2,2624.8,2559.1,2612.87,2512.02,20260130
INDHOTEL,664.6,697.6,679.7,746.85,661.58,20260130
LENSKART,446.2,411.1,460.9,nan,440.07,20260130
IDFCFIRSTB,83.47,86.5,84.7,74.28,83.07,20260130
AUROPHARMA,1150.6,1214.5,1185.6,1143.41,1148.18,20260130
NAM-INDIA,861.6,892.2,864.7,804.27,847.51,20260130
TIINDIA,2325.4,2399.9,2332.7,2900.91,2299.5,20260130
3MINDIA,34605.0,36136.4,35157.6,31219.19,34116.0,20260130
CONCOR,500.6,518.4,505.7,549.44,500.45,20260130
NAVINFLUOR,6069.0,5595.6,5788.1,5072.66,5978.7,20260130
GLAND,1800.1,1621.0,1679.5,1771.15,1707.17,20260130
LICHSGFIN,522.65,547.6,534.4,570.3,520.77,20260130
GILLETTE,8301.0,8378.7,7612.5,9260.51,8017.95,20260130
RAMCOCEM,1102.0,1016.9,1041.4,1042.7,1072.51,20260130
IGL,180.53,186.5,182.2,202.58,177.91,20260130
AEGISVOPAK,219.51,228.5,197.5,nan,212.17,20260130
HSCL,460.8,490.8,476.7,467.14,456.86,20260130
ECLERX,4682.6,4705.5,4173.6,3956.96,4442.49,20260130
HBLENGINE,768.75,826.7,786.7,742.25,748.18,20260130
REDINGTON,262.85,283.3,272.7,270.4,260.84,20260130
PFOCUS,226.97,253.9,240.7,161.7,223.4,20260130
VENTIVE,744.9,707.6,777.6,740.64,744.75,20260130
TRITURBINE,483.0,505.2,491.2,549.24,480.33,20260130
NIVABUPA,78.08,74.2,75.8,80.7,77.62,20260130
JAINREC,407.7,368.9,409.4,nan,394.17,20260130
GRANULES,574.15,605.6,585.5,523.21,570.12,20260130
ZYDUSWELL,431.2,464.4,449.7,422.93,427.6,20260130
MINDACORP,558.6,573.0,511.3,541.36,548.4,20260130
GRAVITA,1623.9,1703.7,1660.4,1760.29,1560.57,20260130
SANDUMA,230.93,242.6,231.3,182.3,219.91,20260130
JKLAKSHMI,785.75,725.9,748.5,850.57,784.85,20260130
TSFINV,415.85,449.1,431.2,nan,409.08,20260130
GRINFRA,921.75,968.8,947.3,1173.92,914.1,20260130
INDIASHLTR,776.4,807.8,788.7,873.44,768.1,20260130
