ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
MARUTI,12631.0,13368.3,13016.4,14728.47,12561.3,20260403
BEL,421.6,446.2,432.9,408.76,417.86,20260403
NESTLEIND,1191.3,1254.7,1228.8,1223.76,1187.89,20260403
LTM,4303.9,3959.0,4425.8,nan,4203.15,20260403
SOLARINDS,13109.0,13951.5,13397.3,14036.24,12807.6,20260403
CGPOWER,680.05,740.3,714.3,688.25,678.24,20260403
HDFCAMC,2348.6,2533.8,2442.4,2676.51,2346.78,20260403
GAIL,141.73,153.0,147.8,168.32,140.77,20260403
RECLTD,324.8,349.1,336.4,357.8,324.08,20260403
OIL,480.15,444.0,459.9,428.26,474.4,20260403
IDBI,69.55,76.0,71.4,96.38,68.25,20260403
LINDEINDIA,7296.5,6467.8,6716.9,6355.51,7102.3,20260403
JSL,717.8,800.0,765.0,751.99,714.68,20260403
IREDA,114.94,124.0,120.3,142.03,114.15,20260403
POONAWALLA,393.3,424.8,407.4,455.51,388.31,20260403
FORCEMOT,21126.0,23374.2,22160.3,18646.0,20890.4,20260403
MEDANTA,1000.4,1082.4,1044.0,1227.55,995.5,20260403
TATAELXSI,4241.3,4521.6,4363.8,5399.99,4151.44,20260403
METROBRAND,938.2,1002.8,881.2,1127.6,929.2,20260403
SUNTV,595.35,627.3,561.4,564.27,594.6,20260403
LALPATHLAB,1328.7,1424.2,1382.6,1491.15,1323.54,20260403
SCHNEIDER,906.05,785.9,828.9,816.68,884.4,20260403
ASAHIINDIA,821.6,924.0,881.7,900.55,821.37,20260403
PNBHOUSING,784.4,834.1,745.0,896.6,783.76,20260403
KIRLOSENG,1383.9,1504.0,1434.3,1071.59,1366.88,20260403
SUMICHEM,383.3,411.2,397.1,491.9,380.25,20260403
DEEPAKNTR,1377.7,1473.7,1419.3,1712.04,1355.8,20260403
CASTROLIND,177.92,184.1,180.8,191.43,177.75,20260403
TATACHEM,651.9,660.0,570.5,835.87,621.0,20260403
CHALET,728.5,793.2,763.8,894.73,725.4,20260403
PSB,22.36,24.1,23.1,28.59,22.26,20260403
VTL,536.6,493.8,513.2,454.44,532.52,20260403
JSWCEMENT,115.94,124.2,120.1,nan,115.15,20260403
FSL,217.78,240.7,229.6,320.29,216.24,20260403
BASF,3311.0,3550.8,3435.5,4261.92,3302.43,20260403
IFCI,52.44,56.7,53.9,55.97,52.32,20260403
VGUARD,322.7,335.2,305.3,351.25,322.36,20260403
AKZOINDIA,2991.8,3008.6,2731.4,3239.49,2888.41,20260403
JUBLPHARMA,839.3,906.0,874.3,1054.27,839.15,20260403
TBOTEK,1093.1,1211.4,1152.3,1464.89,1086.58,20260403
PRIVISCL,2941.1,2767.3,2793.3,2714.93,2932.99,20260403
FIRSTCRY,224.33,191.7,204.9,319.57,222.34,20260403
NUVOCO,292.9,319.4,308.6,376.87,291.42,20260403
NSLNISP,35.51,38.1,36.7,41.04,35.31,20260403
BSOFT,370.85,384.0,319.4,393.74,350.88,20260403
ARVIND,365.25,327.2,334.1,327.04,354.95,20260403
MGL,953.15,1050.9,1007.5,1217.59,950.21,20260403
CEMPRO,539.35,593.9,569.1,nan,535.46,20260403
VIJAYA,897.05,946.4,917.3,1005.29,894.33,20260403
INTELLECT,657.9,695.5,667.8,962.79,644.76,20260403
ASTRAMICRO,952.65,1004.2,963.0,995.35,905.35,20260403
CELLO,404.55,440.9,425.4,553.09,403.02,20260403
NCC,141.71,153.0,146.7,185.89,138.68,20260403
CYIENT,804.85,877.3,842.2,1131.76,804.17,20260403
BATAINDIA,657.15,701.3,673.7,1028.18,643.5,20260403
TITAGARH,614.9,663.2,635.6,830.58,613.15,20260403
ESABINDIA,5229.2,5516.4,5347.5,5343.66,5211.75,20260403
TCI,1039.9,815.5,874.6,1101.12,941.87,20260403
JYOTHYLAB,208.05,226.4,217.6,295.38,206.99,20260403
SKFINDIA,1534.1,1626.9,1575.6,3072.85,1514.51,20260403
JSLL,606.6,637.2,607.2,664.15,592.43,20260403
